,confirmed,country,date,datetime,deaths,file_date,province,recovered
82,0,Brazil,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Brazil,0
2559,1,Brazil,2020-02-26,2020-02-26 23:53:02,0,2020-02-27,Brazil,0
2455,1,Brazil,2020-02-26,2020-02-26 23:53:02,0,2020-02-26,Brazil,0
2668,1,Brazil,2020-02-26,2020-02-26 23:53:02,0,2020-02-28,Brazil,0
3032,2,Brazil,2020-02-29,2020-02-29 21:03:05,0,2020-03-02,Brazil,0
2776,2,Brazil,2020-02-29,2020-02-29 21:03:05,0,2020-02-29,Brazil,0
3173,2,Brazil,2020-02-29,2020-02-29 21:03:05,0,2020-03-03,Brazil,0
2903,2,Brazil,2020-02-29,2020-02-29 21:03:05,0,2020-03-01,Brazil,0
3486,4,Brazil,2020-03-04,2020-03-04 20:33:02,0,2020-03-05,Brazil,0
3322,4,Brazil,2020-03-04,2020-03-04 20:33:02,0,2020-03-04,Brazil,0
3848,13,Brazil,2020-03-06,2020-03-06 20:33:03,0,2020-03-07,Brazil,0
3647,13,Brazil,2020-03-06,2020-03-06 20:33:03,0,2020-03-06,Brazil,0
4068,20,Brazil,2020-03-08,2020-03-08 17:23:07,0,2020-03-08,Brazil,0
4320,25,Brazil,2020-03-09,2020-03-09 10:13:06,0,2020-03-09,Brazil,0
4587,31,Brazil,2020-03-10,2020-03-10 16:53:13,0,2020-03-10,Brazil,0
5227,151,Brazil,2020-03-11,2020-03-11 20:00:00,0,2020-03-13,Brazil,0
4796,38,Brazil,2020-03-11,2020-03-11 22:13:12,0,2020-03-11,Brazil,0
5005,52,Brazil,2020-03-12,2020-03-12 01:33:03,0,2020-03-12,Brazil,0
5433,151,Brazil,2020-03-13,2020-03-13 22:21:58,0,2020-03-14,Brazil,0
5681,162,Brazil,2020-03-15,2020-03-15 18:20:18,0,2020-03-15,Brazil,0
5938,200,Brazil,2020-03-16,2020-03-16 02:33:08,0,2020-03-16,Brazil,1
6201,321,Brazil,2020-03-17,2020-03-17 15:33:06,1,2020-03-17,Brazil,2
6476,372,Brazil,2020-03-18,2020-03-18 19:14:29,3,2020-03-18,Brazil,2
6755,621,Brazil,2020-03-19,2020-03-19 20:43:02,6,2020-03-19,Brazil,2
7043,793,Brazil,2020-03-20,2020-03-20 20:13:16,11,2020-03-20,Brazil,2
7337,1021,Brazil,2020-03-21,2020-03-21 17:43:03,15,2020-03-21,Brazil,2
10864,1546,Brazil,2020-03-22,2020-03-22 23:45:00,25,2020-03-22,Brazil,2
14306,1924,Brazil,2020-03-23,2020-03-23 23:19:21,34,2020-03-23,Brazil,2
17719,2247,Brazil,2020-03-24,2020-03-24 23:37:15,46,2020-03-24,Brazil,2
21135,2554,Brazil,2020-03-25,2020-03-25 23:33:04,59,2020-03-25,Brazil,2
24554,2985,Brazil,2020-03-26,2020-03-26 23:48:18,77,2020-03-26,Brazil,6
27982,3417,Brazil,2020-03-27,2020-03-27 23:23:03,92,2020-03-27,Brazil,6
31411,3904,Brazil,2020-03-28,2020-03-28 23:05:00,111,2020-03-28,Brazil,6
34845,4256,Brazil,2020-03-29,2020-03-29 23:08:00,136,2020-03-29,Brazil,6
38284,4579,Brazil,2020-03-30,2020-03-30 22:52:00,159,2020-03-30,Brazil,120
40716,5717,Brazil,2020-03-31,2020-03-31 23:43:43,201,2020-03-31,Brazil,127
43199,6836,Brazil,2020-04-01,2020-04-01 21:58:34,240,2020-04-01,Brazil,127
45766,8044,Brazil,2020-04-02,2020-04-02 23:25:00,324,2020-04-02,Brazil,127
48390,9056,Brazil,2020-04-03,2020-04-03 22:46:20,359,2020-04-03,Brazil,127
51068,10360,Brazil,2020-04-04,2020-04-04 23:34:00,445,2020-04-04,Brazil,127
53829,11130,Brazil,2020-04-05,2020-04-05 23:06:26,486,2020-04-05,Brazil,127
56636,12161,Brazil,2020-04-06,2020-04-06 23:21:00,564,2020-04-06,Brazil,127
59493,14034,Brazil,2020-04-07,2020-04-07 23:04:29,686,2020-04-07,Brazil,127
62375,16170,Brazil,2020-04-08,2020-04-08 22:51:39,819,2020-04-08,Brazil,127
65285,18092,Brazil,2020-04-09,2020-04-09 23:02:19,950,2020-04-09,Brazil,173
68224,19638,Brazil,2020-04-10,2020-04-10 22:53:48,1057,2020-04-10,Brazil,173
71189,20727,Brazil,2020-04-11,2020-04-11 22:45:13,1124,2020-04-11,Brazil,173
74177,22192,Brazil,2020-04-12,2020-04-12 23:17:00,1223,2020-04-12,Brazil,173
77179,23430,Brazil,2020-04-13,2020-04-13 23:07:34,1328,2020-04-13,Brazil,173
80192,25262,Brazil,2020-04-14,2020-04-14 23:33:12,1532,2020-04-14,Brazil,3046
83218,28320,Brazil,2020-04-15,2020-04-15 22:56:32,1736,2020-04-15,Brazil,14026
86259,30425,Brazil,2020-04-16,2020-04-16 23:30:31,1924,2020-04-16,Brazil,14026
89304,33682,Brazil,2020-04-17,2020-04-17 23:30:32,2141,2020-04-17,Brazil,14026
92357,36658,Brazil,2020-04-18,2020-04-18 22:32:28,2354,2020-04-18,Brazil,14026
95429,38654,Brazil,2020-04-19,2020-04-19 23:40:41,2462,2020-04-19,Brazil,22130
98510,40743,Brazil,2020-04-20,2020-04-20 23:36:27,2587,2020-04-20,Brazil,22130
101601,43079,Brazil,2020-04-21,2020-04-21 23:30:30,2741,2020-04-21,Brazil,22991
104700,45757,Brazil,2020-04-22,2020-04-22 23:30:32,2906,2020-04-22,Brazil,25318
107812,50036,Brazil,2020-04-24,2020-04-24 03:30:31,3331,2020-04-23,Brazil,26573
110940,54043,Brazil,2020-04-25,2020-04-25 06:30:33,3704,2020-04-24,Brazil,27655
114074,59324,Brazil,2020-04-26,2020-04-26 02:30:31,4057,2020-04-25,Brazil,29160
117216,63100,Brazil,2020-04-27,2020-04-27 02:30:33,4286,2020-04-26,Brazil,30152
120368,67446,Brazil,2020-04-28,2020-04-28 02:30:32,4603,2020-04-27,Brazil,31142
123539,73235,Brazil,2020-04-29,2020-04-29 02:32:29,5083,2020-04-28,Brazil,32544
126707,79685,Brazil,2020-04-30,2020-04-30 02:32:27,5513,2020-04-29,Brazil,34132
129882,87187,Brazil,2020-05-01,2020-05-01 02:32:28,6006,2020-04-30,Brazil,35935
133070,92202,Brazil,2020-05-02,2020-05-02 02:32:27,6412,2020-05-01,Brazil,38039
136262,97100,Brazil,2020-05-03,2020-05-03 02:32:28,6761,2020-05-02,Brazil,40937
139460,101826,Brazil,2020-05-04,2020-05-04 02:32:28,7051,2020-05-03,Brazil,42991
142661,108620,Brazil,2020-05-05,2020-05-05 02:32:34,7367,2020-05-04,Brazil,45815
