,Unnamed: 0,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta,pred,
0,0.0,0.0,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,
1,1.0,1.0,2020-01-24,1.0,0.0,0.0,1.0,1.0,0.0,,
2,2.0,2.0,2020-01-25,0.0,0.0,0.0,1.0,1.0,0.0,,
3,3.0,3.0,2020-01-26,0.0,0.0,0.0,1.0,1.0,0.0,,
4,4.0,4.0,2020-01-27,1.0,0.0,0.0,2.0,2.0,0.0,,
5,5.0,5.0,2020-01-28,0.0,0.0,0.0,2.0,2.0,0.0,,
6,6.0,6.0,2020-01-29,0.0,0.0,0.0,2.0,2.0,0.0,,
7,7.0,7.0,2020-01-30,0.0,0.0,0.0,2.0,2.0,0.0,,
8,8.0,8.0,2020-01-31,2.0,0.0,0.0,4.0,4.0,0.0,,
9,9.0,9.0,2020-02-01,0.0,0.0,0.0,4.0,4.0,0.0,,
10,10.0,10.0,2020-02-02,9.0,0.0,0.0,13.0,13.0,0.0,,
11,11.0,11.0,2020-02-03,0.0,0.0,0.0,13.0,13.0,0.0,,
12,12.0,12.0,2020-02-04,7.0,0.0,0.0,20.0,20.0,0.0,,
13,13.0,13.0,2020-02-05,5.0,0.0,0.0,25.0,25.0,0.0,,
14,14.0,14.0,2020-02-06,6.0,0.0,0.0,31.0,31.0,0.0,,
15,15.0,15.0,2020-02-07,7.0,0.0,0.0,38.0,38.0,0.0,,
16,16.0,16.0,2020-02-08,14.0,0.0,0.0,52.0,52.0,0.0,,
17,17.0,17.0,2020-02-09,99.0,0.0,0.0,151.0,151.0,0.0,,
18,18.0,18.0,2020-02-10,0.0,0.0,0.0,151.0,151.0,0.0,,
19,19.0,19.0,2020-02-11,11.0,0.0,0.0,162.0,162.0,0.0,,
20,20.0,20.0,2020-02-12,38.0,0.0,1.0,200.0,199.0,-1.0,,
21,21.0,21.0,2020-02-13,121.0,1.0,1.0,321.0,318.0,-3.0,,
22,22.0,22.0,2020-02-14,51.0,2.0,0.0,372.0,367.0,-5.0,,
23,23.0,23.0,2020-02-15,249.0,3.0,0.0,621.0,613.0,-8.0,,
24,24.0,24.0,2020-02-16,172.0,5.0,0.0,793.0,780.0,-13.0,,
25,25.0,25.0,2020-02-17,228.0,4.0,0.0,1021.0,1004.0,-17.0,,
26,26.0,26.0,2020-02-18,525.0,10.0,0.0,1546.0,1519.0,-27.0,,
27,27.0,27.0,2020-02-19,378.0,9.0,0.0,1924.0,1888.0,-36.0,,
28,28.0,28.0,2020-02-20,323.0,12.0,0.0,2247.0,2199.0,-48.0,,
29,29.0,29.0,2020-02-21,307.0,13.0,0.0,2554.0,2493.0,-61.0,,
30,30.0,30.0,2020-02-22,431.0,18.0,4.0,2985.0,2902.0,-83.0,,
31,31.0,31.0,2020-02-23,432.0,15.0,0.0,3417.0,3319.0,-98.0,,
32,32.0,32.0,2020-02-24,487.0,19.0,0.0,3904.0,3787.0,-117.0,,
33,33.0,33.0,2020-02-25,352.0,25.0,0.0,4256.0,4114.0,-142.0,,
34,34.0,34.0,2020-02-26,323.0,23.0,114.0,4579.0,4300.0,-279.0,,
35,35.0,35.0,2020-02-27,1138.0,42.0,7.0,5717.0,5389.0,-328.0,,
36,36.0,36.0,2020-02-28,1119.0,39.0,0.0,6836.0,6469.0,-367.0,,
37,37.0,37.0,2020-02-29,1208.0,84.0,0.0,8044.0,7593.0,-451.0,,
38,38.0,38.0,2020-03-01,1012.0,35.0,0.0,9056.0,8570.0,-486.0,,
39,39.0,39.0,2020-03-02,1304.0,86.0,0.0,10360.0,9788.0,-572.0,,
40,40.0,40.0,2020-03-03,770.0,41.0,0.0,11130.0,10517.0,-613.0,,
41,41.0,41.0,2020-03-04,1031.0,78.0,0.0,12161.0,11470.0,-691.0,,
42,42.0,42.0,2020-03-05,1873.0,122.0,0.0,14034.0,13221.0,-813.0,,
43,43.0,43.0,2020-03-06,2136.0,133.0,0.0,16170.0,15224.0,-946.0,,
44,44.0,44.0,2020-03-07,1922.0,131.0,46.0,18092.0,16969.0,-1123.0,,
45,45.0,45.0,2020-03-08,1546.0,107.0,0.0,19638.0,18408.0,-1230.0,,
46,46.0,46.0,2020-03-09,1089.0,67.0,0.0,20727.0,19430.0,-1297.0,,
47,47.0,47.0,2020-03-10,1465.0,99.0,0.0,22192.0,20796.0,-1396.0,,
48,48.0,48.0,2020-03-11,1238.0,105.0,0.0,23430.0,21929.0,-1501.0,,
49,49.0,49.0,2020-03-12,1832.0,204.0,2873.0,25262.0,20684.0,-4578.0,,
50,50.0,50.0,2020-03-13,3058.0,204.0,10980.0,28320.0,12558.0,-15762.0,,
51,51.0,51.0,2020-03-14,2105.0,188.0,0.0,30425.0,14475.0,-15950.0,,
52,52.0,52.0,2020-03-15,3257.0,217.0,0.0,33682.0,17515.0,-16167.0,,
53,53.0,53.0,2020-03-16,2976.0,213.0,0.0,36658.0,20278.0,-16380.0,,
54,54.0,54.0,2020-03-17,1996.0,108.0,8104.0,38654.0,14062.0,-24592.0,,
55,55.0,55.0,2020-03-18,2089.0,125.0,0.0,40743.0,16026.0,-24717.0,,
56,56.0,56.0,2020-03-19,2336.0,154.0,861.0,43079.0,17347.0,-25732.0,,
57,57.0,57.0,2020-03-20,2678.0,165.0,2327.0,45757.0,17533.0,-28224.0,,
58,58.0,58.0,2020-03-21,4279.0,425.0,1255.0,50036.0,20132.0,-29904.0,,
59,59.0,59.0,2020-03-22,4007.0,373.0,1082.0,54043.0,22684.0,-31359.0,,
60,60.0,60.0,2020-03-23,5281.0,353.0,1505.0,59324.0,26107.0,-33217.0,,
61,61.0,61.0,2020-03-24,3776.0,229.0,992.0,63100.0,28662.0,-34438.0,,
62,62.0,62.0,2020-03-25,4346.0,317.0,990.0,67446.0,31701.0,-35745.0,,
63,63.0,63.0,2020-03-26,5789.0,480.0,1402.0,73235.0,35608.0,-37627.0,,
64,64.0,64.0,2020-03-27,6450.0,430.0,1588.0,79685.0,40040.0,-39645.0,,
65,65.0,65.0,2020-03-28,7502.0,493.0,1803.0,87187.0,45246.0,-41941.0,,
66,66.0,66.0,2020-03-29,5015.0,406.0,2104.0,92202.0,47751.0,-44451.0,94632.98875353321,
67,67.0,67.0,2020-03-30,4898.0,349.0,2898.0,97100.0,49402.0,-47698.0,102226.31765053667,
68,68.0,68.0,2020-03-31,4726.0,290.0,2054.0,101826.0,51784.0,-50042.0,109929.66596171167,
69,69.0,69.0,2020-04-01,6794.0,316.0,2824.0,108620.0,55438.0,-53182.0,117749.88309603356,
70,,,2020-04-02,,,,,,,125685.7119933057,
71,,,2020-04-03,,,,,,,133737.38335961435,
72,,,2020-04-04,,,,,,,141904.85485387006,
73,,,2020-04-05,,,,,,,150188.13424685982,
74,,,2020-04-06,,,,,,,158587.22011242452,
75,,,2020-04-07,,,,,,,167102.1127123047,
76,,,2020-04-08,,,,,,,175732.81199846353,
77,,,2020-04-09,,,,,,,184479.31797971716,
78,,,2020-04-10,,,,,,,193341.63065444757,
79,,,2020-04-11,,,,,,,202319.7500229517,
80,,,2020-04-12,,,,,,,211413.67608517507,
81,,,2020-04-13,,,,,,,220623.40884112768,
82,,,2020-04-14,,,,,,,229948.94829080766,
83,,,2020-04-15,,,,,,,239390.2944342154,
84,,,2020-04-16,,,,,,,248947.44727135083,
85,,,2020-04-17,,,,,,,258620.40680221393,
86,,,2020-04-18,,,,,,,268409.1730268047,
87,,,2020-04-19,,,,,,,278313.74594512314,
88,,,2020-04-20,,,,,,,288334.12555716926,
89,,,2020-04-21,,,,,,,298470.31186294305,
90,,,2020-04-22,,,,,,,308722.3048624445,
91,,,2020-04-23,,,,,,,319090.1045556737,
92,,,2020-04-24,,,,,,,329573.7109426306,
93,,,2020-04-25,,,,,,,340173.12402331515,
94,,,2020-04-26,,,,,,,350888.3437977274,
95,,,2020-04-27,,,,,,,361719.37026586727,
96,,,2020-04-28,,,,,,,372666.20342773484,
97,,,2020-04-29,,,,,,,383728.8432833301,
98,,,2020-04-30,,,,,,,394907.289832653,
99,,,2020-05-01,,,,,,,406201.54307570367,
100,,,2020-05-02,,,,,,,417611.603012482,
101,,,2020-05-03,,,,,,,429137.469642988,
102,,,2020-05-04,,,,,,,440779.1429672217,
103,,,2020-05-05,,,,,,,452536.622985183,
104,,,2020-05-06,,,,,,,464409.90969687206,
105,,,2020-05-07,,,,,,,476399.00310228876,
106,,,2020-05-08,,,,,,,488503.90320143313,
107,,,2020-05-09,,,,,,,500724.60999430524,
108,,,2020-05-10,,,,,,,513061.123480905,
109,,,2020-05-11,,,,,,,525513.4436612325,
110,,,2020-05-12,,,,,,,538081.5705352876,
111,,,2020-05-13,,,,,,,550765.5041030705,
112,,,2020-05-14,,,,,,,563565.2443645811,
113,,,2020-05-15,,,,,,,576480.7913198193,
114,,,2020-05-16,,,,,,,589512.1449687852,
115,,,2020-05-17,,,,,,,602659.3053114788,
116,,,2020-05-18,,,,,,,615922.2723479001,
117,,,2020-05-19,,,,,,,629301.046078049,
118,,,2020-05-20,,,,,,,642795.6265019256,
119,,,2020-05-21,,,,,,,656406.01361953,
120,,,2020-05-22,,,,,,,670132.207430862,
121,,,2020-05-23,,,,,,,683974.2079359217,
122,,,2020-05-24,,,,,,,697932.0151347091,
123,,,2020-05-25,,,,,,,712005.6290272241,
124,,,2020-05-26,,,,,,,726195.0496134668,
125,,,2020-05-27,,,,,,,740500.2768934373,
126,,,2020-05-28,,,,,,,754921.3108671353,
127,,,2020-05-29,,,,,,,769458.1515345611,
128,,,2020-05-30,,,,,,,784110.7988957146,
129,,,2020-05-31,,,,,,,798879.2529505957,
130,,,2020-06-01,,,,,,,813763.5136992045,
131,,,2020-06-02,,,,,,,828763.581141541,
132,,,2020-06-03,,,,,,,843879.4552776052,
133,,,2020-06-04,,,,,,,859111.136107397,
134,,,2020-06-05,,,,,,,874458.6236309166,
135,,,2020-06-06,,,,,,,889921.9178481639,
136,,,2020-06-07,,,,,,,905501.0187591388,
137,,,2020-06-08,,,,,,,921195.9263638414,
138,,,2020-06-09,,,,,,,937006.6406622716,
139,,,2020-06-10,,,,,,,952933.1616544296,
140,,,2020-06-11,,,,,,,968975.4893403152,
141,,,2020-06-12,,,,,,,985133.6237199286,
142,,,2020-06-13,,,,,,,1001407.5647932695,
143,,,2020-06-14,,,,,,,1017797.3125603382,
144,,,2020-06-15,,,,,,,1034302.8670211346,
145,,,2020-06-16,,,,,,,1050924.2281756585,
146,,,2020-06-17,,,,,,,1067661.39602391,
147,,,2020-06-18,,,,,,,1084514.3705658894,
148,,,2020-06-19,,,,,,,1101483.1518015964,
149,,,2020-06-20,,,,,,,1118567.739731031,
150,,,2020-06-21,,,,,,,1135768.1343541932,
151,,,2020-06-22,,,,,,,1153084.3356710833,
152,,,2020-06-23,,,,,,,1170516.343681701,
153,,,2020-06-24,,,,,,,1188064.1583860463,
154,,,2020-06-25,,,,,,,1205727.7797841195,
155,,,2020-06-26,,,,,,,1223507.2078759202,
156,,,2020-06-27,,,,,,,1241402.4426614486,
157,,,2020-06-28,,,,,,,1259413.4841407046,
158,,,2020-06-29,,,,,,,1277540.3323136885,
159,,,2020-06-30,,,,,,,1295782.9871804,
160,,,2020-07-01,,,,,,,1314141.448740839,
161,,,2020-07-02,,,,,,,1332615.716995006,
162,,,2020-07-03,,,,,,,1351205.7919429005,
163,,,2020-07-04,,,,,,,1369911.6735845227,
164,,,2020-07-05,,,,,,,1388733.3619198725,
165,,,2020-07-06,,,,,,,1407670.85694895,
166,,,2020-07-07,,,,,,,1426724.1586717553,
167,,,2020-07-08,,,,,,,1445893.2670882882,
168,,,2020-07-09,,,,,,,1465178.182198549,
169,,,2020-07-10,,,,,,,1484578.9040025373,
