,day,confirmed,recovered,deaths,date,country
0,0,621,2,6,2020-03-19,Brazil
1,1,793,2,11,2020-03-20,Brazil
2,2,1021,2,15,2020-03-21,Brazil
3,3,1546,2,25,2020-03-22,Brazil
4,4,1924,2,34,2020-03-23,Brazil
5,5,2247,2,46,2020-03-24,Brazil
6,6,2554,2,59,2020-03-25,Brazil
7,7,2985,6,77,2020-03-26,Brazil
8,8,3417,6,92,2020-03-27,Brazil
9,9,3904,6,111,2020-03-28,Brazil
10,10,4256,6,136,2020-03-29,Brazil
11,11,4579,120,159,2020-03-30,Brazil
12,12,5717,127,201,2020-03-31,Brazil
13,13,6836,127,240,2020-04-01,Brazil
14,14,8044,127,324,2020-04-02,Brazil
15,15,9056,127,359,2020-04-03,Brazil
16,16,10360,127,445,2020-04-04,Brazil
17,17,11130,127,486,2020-04-05,Brazil
18,18,12161,127,564,2020-04-06,Brazil
19,19,14034,127,686,2020-04-07,Brazil
20,20,16170,127,819,2020-04-08,Brazil
21,21,18092,173,950,2020-04-09,Brazil
22,22,19638,173,1057,2020-04-10,Brazil
23,23,20727,173,1124,2020-04-11,Brazil
24,24,22192,173,1223,2020-04-12,Brazil
25,25,23430,173,1328,2020-04-13,Brazil
26,26,25262,3046,1532,2020-04-14,Brazil
27,27,28320,14026,1736,2020-04-15,Brazil
28,28,30425,14026,1924,2020-04-16,Brazil
29,29,33682,14026,2141,2020-04-17,Brazil
30,30,36658,14026,2354,2020-04-18,Brazil
31,31,38654,22130,2462,2020-04-19,Brazil
32,32,40743,22130,2587,2020-04-20,Brazil
33,33,43079,22991,2741,2020-04-21,Brazil
34,34,45757,25318,2906,2020-04-22,Brazil
35,35,50036,26573,3331,2020-04-23,Brazil
36,36,54043,27655,3704,2020-04-24,Brazil
37,37,59324,29160,4057,2020-04-25,Brazil
38,38,63100,30152,4286,2020-04-26,Brazil
39,39,67446,31142,4603,2020-04-27,Brazil
40,40,73235,32544,5083,2020-04-28,Brazil
41,41,79685,34132,5513,2020-04-29,Brazil
42,42,87187,35935,6006,2020-04-30,Brazil
43,43,92202,38039,6412,2020-05-01,Brazil
44,44,97100,40937,6761,2020-05-02,Brazil
45,45,101826,42991,7051,2020-05-03,Brazil
46,46,108620,45815,7367,2020-05-04,Brazil
