,confirmed,country,date,datetime,deaths,file_date,province,recovered
124,2,France,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,France,0
165,3,France,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,France,0
211,3,France,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,France,0
258,3,France,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,France,0
309,4,France,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,France,0
361,5,France,2020-01-29,2020-01-29 19:30:00,0,2020-01-29,France,0
416,5,France,2020-01-30,2020-01-30 16:00:00,0,2020-01-30,France,0
470,5,France,2020-01-31,2020-01-31 23:59:00,0,2020-01-31,France,0
532,6,France,2020-02-01,2020-02-01 01:52:00,0,2020-02-01,France,0
599,6,France,2020-02-01,2020-02-01 01:52:40,0,2020-02-02,France,0
735,6,France,2020-02-01,2020-02-01 01:52:40,0,2020-02-04,France,0
876,6,France,2020-02-01,2020-02-01 01:52:40,0,2020-02-06,France,0
667,6,France,2020-02-01,2020-02-01 01:52:40,0,2020-02-03,France,0
948,6,France,2020-02-01,2020-02-01 01:52:40,0,2020-02-07,France,0
805,6,France,2020-02-01,2020-02-01 01:52:40,0,2020-02-05,France,0
1235,11,France,2020-02-08,2020-02-08 09:53:01,0,2020-02-11,France,0
1091,11,France,2020-02-08,2020-02-08 09:53:01,0,2020-02-09,France,0
1163,11,France,2020-02-08,2020-02-08 09:53:01,0,2020-02-10,France,0
1019,11,France,2020-02-08,2020-02-08 09:53:01,0,2020-02-08,France,0
1381,11,France,2020-02-12,2020-02-12 18:53:02,0,2020-02-13,France,2
1308,11,France,2020-02-12,2020-02-12 18:53:02,0,2020-02-12,France,2
1455,11,France,2020-02-12,2020-02-12 18:53:02,0,2020-02-14,France,2
1906,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-20,France,4
1830,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-19,France,4
2240,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-24,France,4
1984,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-21,France,4
2069,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-22,France,4
2153,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-23,France,4
1605,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-16,France,4
1680,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-17,France,4
1755,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-18,France,4
1530,12,France,2020-02-15,2020-02-15 20:53:02,1,2020-02-15,France,4
2329,14,France,2020-02-25,2020-02-25 21:23:03,1,2020-02-25,France,11
2422,18,France,2020-02-26,2020-02-26 20:03:06,2,2020-02-26,France,11
2520,38,France,2020-02-27,2020-02-27 22:13:10,2,2020-02-27,France,11
2621,57,France,2020-02-28,2020-02-28 20:13:09,2,2020-02-28,France,11
2729,100,France,2020-02-29,2020-02-29 19:03:04,2,2020-02-29,France,12
2846,130,France,2020-03-01,2020-03-01 20:43:02,2,2020-03-01,France,12
2966,191,France,2020-03-02,2020-03-02 20:33:02,3,2020-03-02,France,12
3107,204,France,2020-03-03,2020-03-03 15:23:03,4,2020-03-03,France,12
3256,285,France,2020-03-04,2020-03-04 20:43:02,4,2020-03-04,France,12
3413,377,France,2020-03-05,2020-03-05 15:13:22,6,2020-03-05,France,12
3581,653,France,2020-03-06,2020-03-06 20:13:13,9,2020-03-06,France,12
3776,949,France,2020-03-07,2020-03-07 20:33:02,11,2020-03-07,France,12
3999,1126,France,2020-03-08,2020-03-08 18:03:04,19,2020-03-08,France,12
4254,1209,France,2020-03-09,2020-03-09 00:43:03,19,2020-03-09,France,12
4517,1784,France,2020-03-10,2020-03-10 18:53:02,33,2020-03-10,France,12
5232,3661,France,2020-03-11,2020-03-11 20:00:00,79,2020-03-13,France,12
5252,3,France,2020-03-11,2020-03-11 20:00:00,0,2020-03-13,French Polynesia,0
5286,2,France,2020-03-11,2020-03-11 20:00:00,0,2020-03-13,St Martin,0
5285,1,France,2020-03-11,2020-03-11 20:00:00,0,2020-03-13,Saint Barthelemy,0
5126,1,France,2020-03-11,2020-03-11 20:53:02,0,2020-03-12,Saint Barthelemy,0
5108,2,France,2020-03-11,2020-03-11 20:53:02,0,2020-03-12,St Martin,0
4889,2,France,2020-03-11,2020-03-11 20:53:02,0,2020-03-11,St Martin,0
4905,1,France,2020-03-11,2020-03-11 20:53:02,0,2020-03-11,Saint Barthelemy,0
4723,2281,France,2020-03-11,2020-03-11 22:53:03,48,2020-03-11,France,12
4939,2281,France,2020-03-11,2020-03-11 22:53:03,48,2020-03-12,France,12
5607,1,France,2020-03-14,2020-03-14 16:33:03,0,2020-03-14,Saint Barthelemy,0
5840,2,France,2020-03-14,2020-03-14 16:33:03,0,2020-03-15,St Martin,0
6115,2,France,2020-03-14,2020-03-14 16:33:03,0,2020-03-16,St Martin,0
6397,2,France,2020-03-14,2020-03-14 16:33:03,0,2020-03-17,St Martin,0
5583,2,France,2020-03-14,2020-03-14 16:33:03,0,2020-03-14,St Martin,0
5865,1,France,2020-03-14,2020-03-14 16:33:03,0,2020-03-15,Saint Barthelemy,0
5573,3,France,2020-03-14,2020-03-14 16:53:03,0,2020-03-14,French Polynesia,0
5560,5,France,2020-03-14,2020-03-14 16:53:03,0,2020-03-14,Fench Guiana,0
5389,4469,France,2020-03-14,2020-03-14 20:13:16,91,2020-03-14,France,12
5864,1,France,2020-03-14,2020-03-14 20:53:03,0,2020-03-15,Mayotte,0
5817,7,France,2020-03-15,2020-03-15 06:53:03,0,2020-03-15,French Guiana,0
5638,4499,France,2020-03-15,2020-03-15 18:20:18,91,2020-03-15,France,12
6665,3,France,2020-03-15,2020-03-15 18:20:19,0,2020-03-18,French Polynesia,0
6385,3,France,2020-03-15,2020-03-15 18:20:19,0,2020-03-17,French Polynesia,0
6101,3,France,2020-03-15,2020-03-15 18:20:19,0,2020-03-16,French Polynesia,0
5827,3,France,2020-03-15,2020-03-15 18:20:19,0,2020-03-15,French Polynesia,0
6102,3,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-16,Guadeloupe,0
6092,5,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-16,French Guiana,0
6134,1,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-16,Mayotte,0
6103,3,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-16,Saint Barthelemy,0
7561,3,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-21,Saint Barthelemy,0
6666,3,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-18,Saint Barthelemy,0
6956,3,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-19,Saint Barthelemy,0
7257,3,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-20,Saint Barthelemy,0
6413,1,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-17,Mayotte,0
6386,3,France,2020-03-16,2020-03-16 14:38:45,0,2020-03-17,Saint Barthelemy,0
5896,6633,France,2020-03-16,2020-03-16 20:13:11,148,2020-03-16,France,12
6372,6,France,2020-03-17,2020-03-17 07:33:03,0,2020-03-17,Guadeloupe,0
6366,7,France,2020-03-17,2020-03-17 07:33:03,0,2020-03-17,French Guiana,0
6354,9,France,2020-03-17,2020-03-17 11:13:29,0,2020-03-17,Reunion,0
6168,7652,France,2020-03-17,2020-03-17 19:13:08,148,2020-03-17,France,12
6667,3,France,2020-03-18,2020-03-18 10:13:16,0,2020-03-18,St Martin,0
7605,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-21,French Guiana,0
7607,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-21,Mayotte,0
7608,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-21,Reunion,0
7606,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-21,Guadeloupe,0
7002,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-19,French Guiana,0
7003,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-19,Guadeloupe,0
6712,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-18,French Guiana,0
6715,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-18,Reunion,0
7301,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-20,French Guiana,0
7302,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-20,Guadeloupe,0
7303,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-20,Mayotte,0
7304,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-20,Reunion,0
7005,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-19,Reunion,0
7004,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-19,Mayotte,0
6714,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-18,Mayotte,0
6713,0,France,2020-03-18,2020-03-18 14:33:15,0,2020-03-18,Guadeloupe,0
6443,9043,France,2020-03-18,2020-03-18 18:33:02,148,2020-03-18,France,12
6968,2,France,2020-03-19,2020-03-19 02:33:09,0,2020-03-19,New Caledonia,0
7268,2,France,2020-03-19,2020-03-19 02:33:09,0,2020-03-20,New Caledonia,0
7553,4,France,2020-03-19,2020-03-19 09:33:04,0,2020-03-21,St Martin,0
6952,4,France,2020-03-19,2020-03-19 09:33:04,0,2020-03-19,St Martin,0
7251,4,France,2020-03-19,2020-03-19 09:33:04,0,2020-03-20,St Martin,0
6944,6,France,2020-03-19,2020-03-19 11:33:36,0,2020-03-19,French Polynesia,0
6727,10871,France,2020-03-19,2020-03-19 20:43:02,243,2020-03-19,France,12
7229,11,France,2020-03-20,2020-03-20 10:13:37,0,2020-03-20,French Polynesia,0
7019,12612,France,2020-03-20,2020-03-20 22:43:03,450,2020-03-20,France,12
7525,15,France,2020-03-21,2020-03-21 12:43:08,0,2020-03-21,French Polynesia,0
7552,4,France,2020-03-21,2020-03-21 17:43:03,0,2020-03-21,New Caledonia,0
7318,14282,France,2020-03-21,2020-03-21 20:43:02,562,2020-03-21,France,12
10966,18,France,2020-03-22,2020-03-22 23:45:00,0,2020-03-22,French Guiana,0
10968,15,France,2020-03-22,2020-03-22 23:45:00,0,2020-03-22,French Polynesia,0
10977,11,France,2020-03-22,2020-03-22 23:45:00,0,2020-03-22,Mayotte,0
10984,5,France,2020-03-22,2020-03-22 23:45:00,0,2020-03-22,St Martin,0
10944,47,France,2020-03-22,2020-03-22 23:45:00,0,2020-03-22,Reunion,1
10948,37,France,2020-03-22,2020-03-22 23:45:00,1,2020-03-22,Martinique,0
10988,4,France,2020-03-22,2020-03-22 23:45:00,0,2020-03-22,New Caledonia,0
10999,3,France,2020-03-22,2020-03-22 23:45:00,0,2020-03-22,Saint Barthelemy,0
10940,56,France,2020-03-22,2020-03-22 23:45:00,1,2020-03-22,Guadeloupe,0
10854,16018,France,2020-03-22,2020-03-22 23:45:00,674,2020-03-22,France,2200
14266,3,France,2020-03-23,2020-03-23 23:19:21,0,2020-03-23,Saint Barthelemy,0
14265,71,France,2020-03-23,2020-03-23 23:19:21,0,2020-03-23,Reunion,1
14252,8,France,2020-03-23,2020-03-23 23:19:21,0,2020-03-23,New Caledonia,0
14221,19874,France,2020-03-23,2020-03-23 23:19:21,860,2020-03-23,French Polynesia,2200
14220,20,France,2020-03-23,2020-03-23 23:19:21,0,2020-03-23,French Guiana,6
14248,53,France,2020-03-23,2020-03-23 23:19:21,1,2020-03-23,Martinique,0
14249,24,France,2020-03-23,2020-03-23 23:19:21,0,2020-03-23,Mayotte,0
14275,8,France,2020-03-23,2020-03-23 23:19:21,0,2020-03-23,St Martin,0
14228,62,France,2020-03-23,2020-03-23 23:19:21,1,2020-03-23,Guadeloupe,0
17659,57,France,2020-03-24,2020-03-24 23:37:15,1,2020-03-24,Martinique,0
17752,22304,France,2020-03-24,2020-03-24 23:37:15,1100,2020-03-24,France,3281
17679,3,France,2020-03-24,2020-03-24 23:37:15,0,2020-03-24,Saint Barthelemy,0
17678,94,France,2020-03-24,2020-03-24 23:37:15,0,2020-03-24,Reunion,1
17663,10,France,2020-03-24,2020-03-24 23:37:15,0,2020-03-24,New Caledonia,0
17660,36,France,2020-03-24,2020-03-24 23:37:15,0,2020-03-24,Mayotte,0
