,Unnamed: 0,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta,pred,
0,0.0,0.0,2020-01-24,2.0,0.0,0.0,2.0,2.0,0.0,,
1,1.0,1.0,2020-01-25,1.0,0.0,0.0,3.0,3.0,0.0,,
2,2.0,2.0,2020-01-26,0.0,0.0,0.0,3.0,3.0,0.0,,
3,3.0,3.0,2020-01-27,0.0,0.0,0.0,3.0,3.0,0.0,,
4,4.0,4.0,2020-01-28,1.0,0.0,0.0,4.0,4.0,0.0,,
5,5.0,5.0,2020-01-29,1.0,0.0,0.0,5.0,5.0,0.0,,
6,6.0,6.0,2020-01-30,0.0,0.0,0.0,5.0,5.0,0.0,,
7,7.0,7.0,2020-01-31,0.0,0.0,0.0,5.0,5.0,0.0,,
8,8.0,8.0,2020-02-01,1.0,0.0,0.0,6.0,6.0,0.0,,
9,9.0,9.0,2020-02-02,0.0,0.0,0.0,6.0,6.0,0.0,,
10,10.0,10.0,2020-02-03,0.0,0.0,0.0,6.0,6.0,0.0,,
11,11.0,11.0,2020-02-04,0.0,0.0,0.0,6.0,6.0,0.0,,
12,12.0,12.0,2020-02-05,0.0,0.0,0.0,6.0,6.0,0.0,,
13,13.0,13.0,2020-02-06,0.0,0.0,0.0,6.0,6.0,0.0,,
14,14.0,14.0,2020-02-07,0.0,0.0,0.0,6.0,6.0,0.0,,
15,15.0,15.0,2020-02-08,5.0,0.0,0.0,11.0,11.0,0.0,,
16,16.0,16.0,2020-02-09,0.0,0.0,0.0,11.0,11.0,0.0,,
17,17.0,17.0,2020-02-10,0.0,0.0,0.0,11.0,11.0,0.0,,
18,18.0,18.0,2020-02-11,0.0,0.0,0.0,11.0,11.0,0.0,,
19,19.0,19.0,2020-02-12,0.0,0.0,2.0,11.0,9.0,-2.0,,
20,20.0,20.0,2020-02-13,0.0,0.0,0.0,11.0,9.0,-2.0,,
21,21.0,21.0,2020-02-14,0.0,0.0,0.0,11.0,9.0,-2.0,,
22,22.0,22.0,2020-02-15,1.0,1.0,2.0,12.0,7.0,-5.0,,
23,23.0,23.0,2020-02-16,0.0,0.0,0.0,12.0,7.0,-5.0,,
24,24.0,24.0,2020-02-17,0.0,0.0,0.0,12.0,7.0,-5.0,,
25,25.0,25.0,2020-02-18,0.0,0.0,0.0,12.0,7.0,-5.0,,
26,26.0,26.0,2020-02-19,0.0,0.0,0.0,12.0,7.0,-5.0,,
27,27.0,27.0,2020-02-20,0.0,0.0,0.0,12.0,7.0,-5.0,,
28,28.0,28.0,2020-02-21,0.0,0.0,0.0,12.0,7.0,-5.0,,
29,29.0,29.0,2020-02-22,0.0,0.0,0.0,12.0,7.0,-5.0,,
30,30.0,30.0,2020-02-23,0.0,0.0,0.0,12.0,7.0,-5.0,,
31,31.0,31.0,2020-02-24,0.0,0.0,0.0,12.0,7.0,-5.0,,
32,32.0,32.0,2020-02-25,2.0,0.0,7.0,14.0,2.0,-12.0,,
33,33.0,33.0,2020-02-26,4.0,1.0,0.0,18.0,5.0,-13.0,,
34,34.0,34.0,2020-02-27,20.0,0.0,0.0,38.0,25.0,-13.0,,
35,35.0,35.0,2020-02-28,19.0,0.0,0.0,57.0,44.0,-13.0,,
36,36.0,36.0,2020-02-29,43.0,0.0,1.0,100.0,86.0,-14.0,,
37,37.0,37.0,2020-03-01,30.0,0.0,0.0,130.0,116.0,-14.0,,
38,38.0,38.0,2020-03-02,61.0,1.0,0.0,191.0,176.0,-15.0,,
39,39.0,39.0,2020-03-03,13.0,1.0,0.0,204.0,188.0,-16.0,,
40,40.0,40.0,2020-03-04,81.0,0.0,0.0,285.0,269.0,-16.0,,
41,41.0,41.0,2020-03-05,92.0,2.0,0.0,377.0,359.0,-18.0,,
