,day,confirmed,recovered,deaths,date,country
0,0,653,12,9,2020-03-06,France
1,1,949,12,11,2020-03-07,France
2,2,1126,12,19,2020-03-08,France
3,3,1209,12,19,2020-03-09,France
4,4,1784,12,33,2020-03-10,France
5,5,2284,12,48,2020-03-13,France
6,6,2284,12,48,2020-03-12,France
7,7,3667,12,79,2020-03-11,France
8,8,4480,12,91,2020-03-14,France
9,9,4513,12,91,2020-03-15,France
10,10,6650,12,148,2020-03-16,France
11,11,7683,12,148,2020-03-17,France
12,12,9052,12,148,2020-03-18,France
13,13,10886,12,243,2020-03-21,France
14,14,12632,12,450,2020-03-19,France
15,15,14308,12,562,2020-03-20,France
16,16,16214,2201,676,2020-03-22,France
17,17,20123,2207,862,2020-03-23,France
18,18,22622,3288,1102,2020-03-24,France
19,19,25600,3907,1333,2020-03-25,France
20,20,29551,4955,1698,2020-03-26,France
21,21,33402,5707,1997,2020-03-27,France
22,22,38105,5724,2317,2020-03-28,France
23,23,40708,7226,2611,2020-03-29,France
24,24,45170,7964,3030,2020-03-30,France
25,25,52827,9513,3532,2020-03-31,France
26,26,57749,11053,4043,2020-04-01,France
27,27,59929,12548,5398,2020-04-02,France
28,28,65202,14135,6520,2020-04-03,France
29,29,90848,15572,7574,2020-04-04,France
30,30,93773,16349,8093,2020-04-05,France
31,31,98963,17428,8926,2020-04-06,France
32,32,110065,19523,10343,2020-04-07,France
33,33,113959,21452,10887,2020-04-08,France
34,34,118781,23413,12228,2020-04-09,France
35,35,125931,25195,13215,2020-04-10,France
36,36,130727,26663,13851,2020-04-11,France
37,37,133670,27469,14412,2020-04-12,France
38,38,137875,28001,14986,2020-04-13,France
39,39,131361,29098,15748,2020-04-14,France
40,40,134582,31470,17188,2020-04-15,France
41,41,147091,33327,17941,2020-04-16,France
42,42,149130,35006,18703,2020-04-17,France
43,43,149149,36587,19345,2020-04-18,France
44,44,154097,37183,19744,2020-04-19,France
45,45,156480,38036,20292,2020-04-20,France
46,46,159297,39819,20829,2020-04-21,France
47,47,157125,41326,21373,2020-04-22,France
48,48,159460,42762,21889,2020-04-23,France
49,49,159952,44271,22279,2020-04-24,France
50,50,161644,45372,22648,2020-04-25,France
51,51,162220,45681,22890,2020-04-26,France
52,52,165963,46293,23327,2020-04-27,France
53,53,169053,47775,23694,2020-04-28,France
54,54,166543,49118,24121,2020-04-29,France
55,55,167299,50380,24410,2020-04-30,France
56,56,167305,51124,24628,2020-05-01,France
57,57,168518,50663,24763,2020-05-02,France
58,58,168925,50885,24900,2020-05-03,France
59,59,169583,51476,25204,2020-05-04,France
