,confirmed,country,date,datetime,deaths,file_date,province,recovered
318,4,Germany,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Bavaria,0
370,4,Germany,2020-01-29,2020-01-29 19:30:00,0,2020-01-29,Bavaria,0
426,4,Germany,2020-01-30,2020-01-30 16:00:00,0,2020-01-30,Bavaria,0
471,5,Germany,2020-01-31,2020-01-31 23:59:00,0,2020-01-31,Bavaria,0
530,8,Germany,2020-02-01,2020-02-01 18:33:00,0,2020-02-01,Germany,0
595,10,Germany,2020-02-02,2020-02-02 18:03:05,0,2020-02-02,Germany,0
730,12,Germany,2020-02-03,2020-02-03 20:53:02,0,2020-02-04,Germany,0
662,12,Germany,2020-02-03,2020-02-03 20:53:02,0,2020-02-03,Germany,0
872,12,Germany,2020-02-03,2020-02-03 20:53:02,0,2020-02-06,Germany,0
800,12,Germany,2020-02-03,2020-02-03 20:53:02,0,2020-02-05,Germany,0
944,13,Germany,2020-02-07,2020-02-07 16:33:03,0,2020-02-07,Germany,0
1017,13,Germany,2020-02-07,2020-02-07 16:33:03,0,2020-02-08,Germany,0
1089,14,Germany,2020-02-09,2020-02-09 06:13:11,0,2020-02-09,Germany,0
1161,14,Germany,2020-02-09,2020-02-09 06:13:11,0,2020-02-10,Germany,0
1233,16,Germany,2020-02-11,2020-02-11 19:33:03,0,2020-02-11,Germany,0
1306,16,Germany,2020-02-11,2020-02-11 19:33:03,0,2020-02-12,Germany,0
1453,16,Germany,2020-02-13,2020-02-13 15:13:11,0,2020-02-14,Germany,1
1379,16,Germany,2020-02-13,2020-02-13 15:13:11,0,2020-02-13,Germany,1
1528,16,Germany,2020-02-13,2020-02-13 15:13:11,0,2020-02-15,Germany,1
1603,16,Germany,2020-02-13,2020-02-13 15:13:11,0,2020-02-16,Germany,1
1678,16,Germany,2020-02-13,2020-02-13 15:13:11,0,2020-02-17,Germany,1
1828,16,Germany,2020-02-18,2020-02-18 17:03:03,0,2020-02-19,Germany,12
1753,16,Germany,2020-02-18,2020-02-18 17:03:03,0,2020-02-18,Germany,12
1904,16,Germany,2020-02-18,2020-02-18 17:03:03,0,2020-02-20,Germany,12
1982,16,Germany,2020-02-21,2020-02-21 23:03:13,0,2020-02-21,Germany,14
2066,16,Germany,2020-02-21,2020-02-21 23:03:13,0,2020-02-22,Germany,14
2236,16,Germany,2020-02-21,2020-02-21 23:03:13,0,2020-02-24,Germany,14
2150,16,Germany,2020-02-21,2020-02-21 23:03:13,0,2020-02-23,Germany,14
2327,17,Germany,2020-02-25,2020-02-25 21:33:02,0,2020-02-25,Germany,14
2419,27,Germany,2020-02-26,2020-02-26 23:43:03,0,2020-02-26,Germany,15
2516,46,Germany,2020-02-27,2020-02-27 23:13:04,0,2020-02-27,Germany,16
2622,48,Germany,2020-02-28,2020-02-28 00:13:18,0,2020-02-28,Germany,16
2733,79,Germany,2020-02-29,2020-02-29 14:43:03,0,2020-02-29,Germany,16
2847,130,Germany,2020-03-01,2020-03-01 23:23:02,0,2020-03-01,Germany,16
2969,159,Germany,2020-03-02,2020-03-02 20:33:02,0,2020-03-02,Germany,16
3108,196,Germany,2020-03-03,2020-03-03 20:03:06,0,2020-03-03,Germany,16
3257,262,Germany,2020-03-04,2020-03-04 19:33:03,0,2020-03-04,Germany,16
3410,482,Germany,2020-03-05,2020-03-05 17:43:03,0,2020-03-05,Germany,16
3580,670,Germany,2020-03-06,2020-03-06 17:53:03,0,2020-03-06,Germany,17
3778,799,Germany,2020-03-07,2020-03-07 17:43:05,0,2020-03-07,Germany,18
4000,1040,Germany,2020-03-08,2020-03-08 21:03:03,0,2020-03-08,Germany,18
4255,1176,Germany,2020-03-09,2020-03-09 18:13:11,2,2020-03-09,Germany,18
