,day,confirmed,recovered,deaths,date,country
0,0,670,17,0,2020-03-06,Germany
1,1,799,18,0,2020-03-07,Germany
2,2,1040,18,0,2020-03-08,Germany
3,3,1176,18,2,2020-03-09,Germany
4,4,1457,18,2,2020-03-10,Germany
5,5,1908,25,3,2020-03-11,Germany
6,6,2078,25,3,2020-03-13,Germany
7,7,3675,46,7,2020-03-12,Germany
8,8,4585,46,9,2020-03-14,Germany
9,9,5795,46,11,2020-03-15,Germany
10,10,7272,67,17,2020-03-16,Germany
11,11,9257,67,24,2020-03-17,Germany
12,12,12327,105,28,2020-03-18,Germany
13,13,15320,113,44,2020-03-19,Germany
14,14,19848,180,67,2020-03-20,Germany
15,15,22213,233,84,2020-03-21,Germany
16,16,24873,266,94,2020-03-22,Germany
17,17,29056,453,123,2020-03-23,Germany
18,18,32986,3243,157,2020-03-24,Germany
19,19,37323,3547,206,2020-03-25,Germany
20,20,43938,5673,267,2020-03-26,Germany
21,21,50871,6658,342,2020-03-27,Germany
22,22,57695,8481,433,2020-03-28,Germany
23,23,62095,9211,533,2020-03-29,Germany
24,24,66885,13500,645,2020-03-30,Germany
25,25,71808,16100,775,2020-03-31,Germany
26,26,77872,18700,920,2020-04-01,Germany
27,27,84794,22440,1107,2020-04-02,Germany
28,28,91159,24575,1275,2020-04-03,Germany
29,29,96092,26400,1444,2020-04-04,Germany
30,30,100123,28700,1584,2020-04-05,Germany
31,31,103374,28700,1810,2020-04-06,Germany
32,32,107663,36081,2016,2020-04-07,Germany
33,33,113296,46300,2349,2020-04-08,Germany
34,34,118181,52407,2607,2020-04-09,Germany
35,35,122171,53913,2767,2020-04-10,Germany
36,36,124908,57400,2736,2020-04-11,Germany
37,37,127854,60300,3022,2020-04-12,Germany
38,38,130072,64300,3194,2020-04-13,Germany
39,39,131359,68200,3294,2020-04-14,Germany
40,40,134753,72600,3804,2020-04-15,Germany
41,41,137698,77000,4052,2020-04-16,Germany
42,42,141397,83114,4352,2020-04-17,Germany
43,43,143342,85400,4459,2020-04-18,Germany
44,44,145184,88000,4586,2020-04-19,Germany
45,45,147065,91500,4862,2020-04-20,Germany
46,46,148291,95200,5033,2020-04-21,Germany
47,47,150648,99400,5279,2020-04-22,Germany
48,48,153129,103300,5575,2020-04-23,Germany
49,49,154999,109800,5760,2020-04-24,Germany
50,50,156513,109800,5877,2020-04-25,Germany
51,51,157770,112000,5976,2020-04-26,Germany
52,52,158758,114500,6126,2020-04-27,Germany
53,53,159912,117400,6314,2020-04-28,Germany
54,54,161539,120400,6467,2020-04-29,Germany
55,55,163009,123500,6623,2020-04-30,Germany
56,56,164077,126900,6736,2020-05-01,Germany
57,57,164967,129000,6812,2020-05-02,Germany
58,58,165664,130600,6866,2020-05-03,Germany
59,59,166152,132700,6993,2020-05-04,Germany
