,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta
0,0,2020-01-28,4,0,0,4,4,0
1,1,2020-01-29,0,0,0,4,4,0
2,2,2020-01-30,0,0,0,4,4,0
3,3,2020-01-31,1,0,0,5,5,0
4,4,2020-02-01,3,0,0,8,8,0
5,5,2020-02-02,2,0,0,10,10,0
6,6,2020-02-03,2,0,0,12,12,0
7,7,2020-02-04,0,0,0,12,12,0
8,8,2020-02-05,0,0,0,12,12,0
9,9,2020-02-06,0,0,0,12,12,0
10,10,2020-02-07,1,0,0,13,13,0
11,11,2020-02-08,0,0,0,13,13,0
12,12,2020-02-09,1,0,0,14,14,0
13,13,2020-02-10,0,0,0,14,14,0
14,14,2020-02-11,2,0,0,16,16,0
15,15,2020-02-12,0,0,0,16,16,0
16,16,2020-02-13,0,0,1,16,15,-1
17,17,2020-02-14,0,0,0,16,15,-1
18,18,2020-02-15,0,0,0,16,15,-1
19,19,2020-02-16,0,0,0,16,15,-1
20,20,2020-02-17,0,0,0,16,15,-1
21,21,2020-02-18,0,0,11,16,4,-12
22,22,2020-02-19,0,0,0,16,4,-12
23,23,2020-02-20,0,0,0,16,4,-12
24,24,2020-02-21,0,0,2,16,2,-14
25,25,2020-02-22,0,0,0,16,2,-14
26,26,2020-02-23,0,0,0,16,2,-14
27,27,2020-02-24,0,0,0,16,2,-14
28,28,2020-02-25,1,0,0,17,3,-14
29,29,2020-02-26,10,0,1,27,12,-15
30,30,2020-02-27,19,0,1,46,30,-16
31,31,2020-02-28,2,0,0,48,32,-16
32,32,2020-02-29,31,0,0,79,63,-16
33,33,2020-03-01,51,0,0,130,114,-16
34,34,2020-03-02,29,0,0,159,143,-16
35,35,2020-03-03,37,0,0,196,180,-16
36,36,2020-03-04,66,0,0,262,246,-16
37,37,2020-03-05,220,0,0,482,466,-16
38,38,2020-03-06,188,0,1,670,653,-17
39,39,2020-03-07,129,0,1,799,781,-18
40,40,2020-03-08,241,0,0,1040,1022,-18
41,41,2020-03-09,136,2,0,1176,1156,-20
42,42,2020-03-10,281,0,0,1457,1437,-20
43,43,2020-03-11,451,1,7,1908,1880,-28
44,44,2020-03-12,170,0,0,2078,2050,-28
45,45,2020-03-13,1597,4,21,3675,3622,-53
46,46,2020-03-14,910,2,0,4585,4530,-55
47,47,2020-03-15,1210,2,0,5795,5738,-57
48,48,2020-03-16,1477,6,21,7272,7188,-84
49,49,2020-03-17,1985,7,0,9257,9166,-91
50,50,2020-03-18,3070,4,38,12327,12194,-133
51,51,2020-03-19,2993,16,8,15320,15163,-157
52,52,2020-03-20,4528,23,67,19848,19601,-247
53,53,2020-03-21,2365,17,53,22213,21896,-317
54,54,2020-03-22,2660,10,33,24873,24513,-360
55,55,2020-03-23,4183,29,187,29056,28480,-576
56,56,2020-03-24,3930,34,2790,32986,29586,-3400
57,57,2020-03-25,4337,49,304,37323,33570,-3753
58,58,2020-03-26,6615,61,2126,43938,37998,-5940
59,59,2020-03-27,6933,75,985,50871,43871,-7000
60,60,2020-03-28,6824,91,1823,57695,48781,-8914
61,61,2020-03-29,4400,100,730,62095,52351,-9744
62,62,2020-03-30,4790,112,4289,66885,52740,-14145
63,63,2020-03-31,4923,130,2600,71808,54933,-16875
64,64,2020-04-01,6064,145,2600,77872,58252,-19620
65,65,2020-04-02,6922,187,3740,84794,61247,-23547
66,66,2020-04-03,6365,168,2135,91159,65309,-25850
67,67,2020-04-04,4933,169,1825,96092,68248,-27844
68,68,2020-04-05,4031,140,2300,100123,69839,-30284
69,69,2020-04-06,3251,226,0,103374,72864,-30510
70,70,2020-04-07,4289,206,7381,107663,69566,-38097
71,71,2020-04-08,5633,333,10219,113296,64647,-48649
72,72,2020-04-09,4885,258,6107,118181,63167,-55014
73,73,2020-04-10,3990,160,1506,122171,65491,-56680
74,74,2020-04-11,2737,-31,3487,124908,64772,-60136
75,75,2020-04-12,2946,286,2900,127854,64532,-63322
76,76,2020-04-13,2218,172,4000,130072,62578,-67494
77,77,2020-04-14,1287,100,3900,131359,59865,-71494
78,78,2020-04-15,3394,510,4400,134753,58349,-76404
79,79,2020-04-16,2945,248,4400,137698,56646,-81052
80,80,2020-04-17,3699,300,6114,141397,53931,-87466
81,81,2020-04-18,1945,107,2286,143342,53483,-89859
82,82,2020-04-19,1842,127,2600,145184,52598,-92586
83,83,2020-04-20,1881,276,3500,147065,50703,-96362
84,84,2020-04-21,1226,171,3700,148291,48058,-100233
85,85,2020-04-22,2357,246,4200,150648,45969,-104679
86,86,2020-04-23,2481,296,3900,153129,44254,-108875
87,87,2020-04-24,1870,185,6500,154999,39439,-115560
88,88,2020-04-25,1514,117,0,156513,40836,-115677
89,89,2020-04-26,1257,99,2200,157770,39794,-117976
90,90,2020-04-27,988,150,2500,158758,38132,-120626
91,91,2020-04-28,1154,188,2900,159912,36198,-123714
92,92,2020-04-29,1627,153,3000,161539,34672,-126867
93,93,2020-04-30,1470,156,3100,163009,32886,-130123
94,94,2020-05-01,1068,113,3400,164077,30441,-133636
95,95,2020-05-02,890,76,2100,164967,29155,-135812
96,96,2020-05-03,697,54,1600,165664,28198,-137466
97,97,2020-05-04,488,127,2100,166152,26459,-139693
