,confirmed,country,date,datetime,deaths,file_date,province,recovered
1843,2,Iran,2020-02-19,2020-02-19 23:43:02,2,2020-02-19,Iran,0
1912,5,Iran,2020-02-20,2020-02-20 17:33:02,2,2020-02-20,Iran,0
1980,18,Iran,2020-02-21,2020-02-21 18:53:02,4,2020-02-21,Iran,0
2062,28,Iran,2020-02-22,2020-02-22 10:03:05,5,2020-02-22,Iran,0
2145,43,Iran,2020-02-23,2020-02-23 15:13:15,8,2020-02-23,Iran,0
2230,61,Iran,2020-02-24,2020-02-24 11:13:10,12,2020-02-24,Iran,0
2313,95,Iran,2020-02-25,2020-02-25 14:53:03,16,2020-02-25,Iran,0
2404,139,Iran,2020-02-26,2020-02-26 23:43:03,19,2020-02-26,Iran,49
2500,245,Iran,2020-02-27,2020-02-27 12:03:04,26,2020-02-27,Iran,49
2601,388,Iran,2020-02-28,2020-02-28 15:43:03,34,2020-02-28,Iran,73
2711,593,Iran,2020-02-29,2020-02-29 14:53:04,43,2020-02-29,Iran,123
2826,978,Iran,2020-03-01,2020-03-01 15:33:03,54,2020-03-01,Iran,175
2946,1501,Iran,2020-03-02,2020-03-02 20:23:16,66,2020-03-02,Iran,291
3087,2336,Iran,2020-03-03,2020-03-03 14:23:03,77,2020-03-03,Iran,291
3238,2922,Iran,2020-03-04,2020-03-04 12:33:03,92,2020-03-04,Iran,552
3398,3513,Iran,2020-03-05,2020-03-05 13:43:04,107,2020-03-05,Iran,739
3570,4747,Iran,2020-03-06,2020-03-06 12:23:04,124,2020-03-06,Iran,913
3770,5823,Iran,2020-03-07,2020-03-07 17:43:05,145,2020-03-07,Iran,1669
3995,6566,Iran,2020-03-08,2020-03-08 11:03:30,194,2020-03-08,Iran,2134
4250,7161,Iran,2020-03-09,2020-03-09 10:53:03,237,2020-03-09,Iran,2394
4515,8042,Iran,2020-03-10,2020-03-10 19:13:20,291,2020-03-10,Iran (Islamic Republic of),2731
4721,9000,Iran,2020-03-11,2020-03-11 18:52:03,354,2020-03-11,Iran,2959
5250,11364,Iran,2020-03-11,2020-03-11 20:00:00,514,2020-03-13,Iran,2959
4937,10075,Iran,2020-03-12,2020-03-12 11:13:27,429,2020-03-12,Iran,2959
5385,12729,Iran,2020-03-14,2020-03-14 11:33:06,611,2020-03-14,Iran,2959
5634,13938,Iran,2020-03-15,2020-03-15 18:20:18,724,2020-03-15,Iran,4590
5892,14991,Iran,2020-03-16,2020-03-16 14:38:45,853,2020-03-16,Iran,4590
6164,16169,Iran,2020-03-17,2020-03-17 15:13:09,988,2020-03-17,Iran,5389
6440,17361,Iran,2020-03-18,2020-03-18 12:33:02,1135,2020-03-18,Iran,5389
6724,18407,Iran,2020-03-19,2020-03-19 11:33:29,1284,2020-03-19,Iran,5710
7018,19644,Iran,2020-03-20,2020-03-20 15:13:21,1433,2020-03-20,Iran,6745
7317,20610,Iran,2020-03-21,2020-03-21 11:13:12,1556,2020-03-21,Iran,7635
