,Unnamed: 0,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta,pred,
0,0.0,0.0,2020-02-19,2.0,2.0,0.0,2.0,0.0,-2.0,,
1,1.0,1.0,2020-02-20,3.0,0.0,0.0,5.0,3.0,-2.0,,
2,2.0,2.0,2020-02-21,13.0,2.0,0.0,18.0,14.0,-4.0,,
3,3.0,3.0,2020-02-22,10.0,1.0,0.0,28.0,23.0,-5.0,,
4,4.0,4.0,2020-02-23,15.0,3.0,0.0,43.0,35.0,-8.0,,
5,5.0,5.0,2020-02-24,18.0,4.0,0.0,61.0,49.0,-12.0,,
6,6.0,6.0,2020-02-25,34.0,4.0,0.0,95.0,79.0,-16.0,,
7,7.0,7.0,2020-02-26,44.0,3.0,49.0,139.0,71.0,-68.0,,
8,8.0,8.0,2020-02-27,106.0,7.0,0.0,245.0,170.0,-75.0,,
9,9.0,9.0,2020-02-28,143.0,8.0,24.0,388.0,281.0,-107.0,,
10,10.0,10.0,2020-02-29,205.0,9.0,50.0,593.0,427.0,-166.0,,
11,11.0,11.0,2020-03-01,385.0,11.0,52.0,978.0,749.0,-229.0,,
12,12.0,12.0,2020-03-02,523.0,12.0,116.0,1501.0,1144.0,-357.0,,
13,13.0,13.0,2020-03-03,835.0,11.0,0.0,2336.0,1968.0,-368.0,,
14,14.0,14.0,2020-03-04,586.0,15.0,261.0,2922.0,2278.0,-644.0,,
15,15.0,15.0,2020-03-05,591.0,15.0,187.0,3513.0,2667.0,-846.0,,
16,16.0,16.0,2020-03-06,1234.0,17.0,174.0,4747.0,3710.0,-1037.0,,
17,17.0,17.0,2020-03-07,1076.0,21.0,756.0,5823.0,4009.0,-1814.0,,
18,18.0,18.0,2020-03-08,743.0,49.0,465.0,6566.0,4238.0,-2328.0,,
19,19.0,19.0,2020-03-09,595.0,43.0,260.0,7161.0,4530.0,-2631.0,,
20,20.0,20.0,2020-03-10,881.0,54.0,337.0,8042.0,5020.0,-3022.0,,
21,21.0,21.0,2020-03-11,958.0,63.0,228.0,9000.0,5687.0,-3313.0,,
22,22.0,22.0,2020-03-12,1075.0,75.0,0.0,10075.0,6687.0,-3388.0,,
23,23.0,23.0,2020-03-13,1289.0,85.0,0.0,11364.0,7891.0,-3473.0,,
24,24.0,24.0,2020-03-14,1365.0,97.0,0.0,12729.0,9159.0,-3570.0,,
25,25.0,25.0,2020-03-15,1209.0,113.0,1631.0,13938.0,8624.0,-5314.0,,
26,26.0,26.0,2020-03-16,1053.0,129.0,0.0,14991.0,9548.0,-5443.0,,
27,27.0,27.0,2020-03-17,1178.0,135.0,799.0,16169.0,9792.0,-6377.0,,
28,28.0,28.0,2020-03-18,1192.0,147.0,0.0,17361.0,10837.0,-6524.0,,
29,29.0,29.0,2020-03-19,1046.0,149.0,321.0,18407.0,11413.0,-6994.0,,
30,30.0,30.0,2020-03-20,1237.0,149.0,1035.0,19644.0,11466.0,-8178.0,,
31,31.0,31.0,2020-03-21,966.0,123.0,890.0,20610.0,11419.0,-9191.0,,
32,32.0,32.0,2020-03-22,1028.0,129.0,0.0,21638.0,12318.0,-9320.0,,
33,33.0,33.0,2020-03-23,1411.0,127.0,741.0,23049.0,12861.0,-10188.0,,
34,34.0,34.0,2020-03-24,1762.0,122.0,537.0,24811.0,13964.0,-10847.0,,
35,35.0,35.0,2020-03-25,2206.0,143.0,712.0,27017.0,15315.0,-11702.0,,
36,36.0,36.0,2020-03-26,2389.0,157.0,832.0,29406.0,16715.0,-12691.0,,
37,37.0,37.0,2020-03-27,2926.0,144.0,676.0,32332.0,18821.0,-13511.0,,
38,38.0,38.0,2020-03-28,3076.0,139.0,546.0,35408.0,21212.0,-14196.0,,
