,day,confirmed,recovered,deaths,date,country
0,0,593,123,43,2020-02-29,Iran
1,1,978,175,54,2020-03-01,Iran
2,2,1501,291,66,2020-03-02,Iran
3,3,2336,291,77,2020-03-03,Iran
4,4,2922,552,92,2020-03-04,Iran
5,5,3513,739,107,2020-03-05,Iran
6,6,4747,913,124,2020-03-06,Iran
7,7,5823,1669,145,2020-03-07,Iran
8,8,6566,2134,194,2020-03-08,Iran
9,9,7161,2394,237,2020-03-09,Iran
10,10,8042,2731,291,2020-03-10,Iran
11,11,9000,2959,354,2020-03-11,Iran
12,12,10075,2959,429,2020-03-13,Iran
13,13,11364,2959,514,2020-03-12,Iran
14,14,12729,2959,611,2020-03-14,Iran
15,15,13938,4590,724,2020-03-15,Iran
16,16,14991,4590,853,2020-03-16,Iran
17,17,16169,5389,988,2020-03-17,Iran
18,18,17361,5389,1135,2020-03-18,Iran
19,19,18407,5710,1284,2020-03-19,Iran
20,20,19644,6745,1433,2020-03-20,Iran
21,21,20610,7635,1556,2020-03-21,Iran
22,22,21638,7635,1685,2020-03-22,Iran
23,23,23049,8376,1812,2020-03-23,Iran
24,24,24811,8913,1934,2020-03-24,Iran
25,25,27017,9625,2077,2020-03-25,Iran
26,26,29406,10457,2234,2020-03-26,Iran
27,27,32332,11133,2378,2020-03-27,Iran
28,28,35408,11679,2517,2020-03-28,Iran
29,29,38309,12391,2640,2020-03-29,Iran
30,30,41495,13911,2757,2020-03-30,Iran
31,31,44605,14656,2898,2020-03-31,Iran
32,32,47593,15473,3036,2020-04-01,Iran
33,33,50468,16711,3160,2020-04-02,Iran
34,34,53183,17935,3294,2020-04-03,Iran
35,35,55743,19736,3452,2020-04-04,Iran
36,36,58226,19736,3603,2020-04-05,Iran
37,37,60500,24236,3739,2020-04-06,Iran
38,38,62589,27039,3872,2020-04-07,Iran
39,39,64586,29812,3993,2020-04-08,Iran
40,40,66220,32309,4110,2020-04-09,Iran
41,41,68192,35465,4232,2020-04-10,Iran
42,42,70029,41947,4357,2020-04-11,Iran
43,43,71686,43894,4474,2020-04-12,Iran
44,44,73303,45983,4585,2020-04-13,Iran
45,45,74877,48129,4683,2020-04-14,Iran
46,46,76389,49933,4777,2020-04-15,Iran
47,47,77995,52229,4869,2020-04-16,Iran
48,48,79494,54064,4958,2020-04-17,Iran
49,49,80868,55987,5031,2020-04-18,Iran
50,50,82211,57023,5118,2020-04-19,Iran
51,51,83505,59273,5209,2020-04-20,Iran
52,52,84802,60965,5297,2020-04-21,Iran
53,53,85996,63113,5391,2020-04-22,Iran
54,54,87026,64843,5481,2020-04-23,Iran
55,55,88194,66599,5574,2020-04-24,Iran
56,56,89328,68193,5650,2020-04-25,Iran
57,57,90481,69657,5710,2020-04-26,Iran
58,58,91472,70933,5806,2020-04-27,Iran
59,59,92584,72439,5877,2020-04-28,Iran
60,60,93657,73791,5957,2020-04-29,Iran
61,61,94640,75103,6028,2020-04-30,Iran
62,62,95646,76318,6091,2020-05-01,Iran
63,63,96448,77350,6156,2020-05-02,Iran
64,64,97424,78422,6203,2020-05-03,Iran
65,65,98647,79379,6277,2020-05-04,Iran
