,day,confirmed,recovered,deaths,date,country
0,0,537,8,21,2020-03-06,America
1,1,605,8,22,2020-03-09,America
2,2,959,8,28,2020-03-10,America
3,3,1281,8,36,2020-03-11,America
4,4,1663,12,40,2020-03-12,America
5,5,2179,12,47,2020-03-15,America
6,6,2726,12,54,2020-03-16,America
7,7,3499,12,63,2020-03-14,America
8,8,4632,17,85,2020-03-13,America
9,9,6421,17,108,2020-03-17,America
10,10,7786,106,118,2020-03-19,America
11,11,13680,108,200,2020-03-18,America
12,12,19101,147,244,2020-03-20,America
13,13,25514,171,307,2020-03-21,America
14,14,33848,0,427,2020-03-22,America
15,15,43663,0,552,2020-03-23,America
16,16,53736,348,706,2020-03-24,America
17,17,65778,361,942,2020-03-25,America
18,18,83836,681,1209,2020-03-26,America
19,19,101657,869,1581,2020-03-27,America
20,20,121465,1072,2026,2020-03-28,America
21,21,140909,2665,2467,2020-03-29,America
22,22,161831,5644,2978,2020-03-30,America
23,23,188172,7024,3873,2020-03-31,America
24,24,213372,8474,4757,2020-04-01,America
25,25,243599,9001,5926,2020-04-02,America
26,26,275586,9707,7087,2020-04-03,America
27,27,308853,14652,8407,2020-04-04,America
28,28,337072,17448,9619,2020-04-05,America
29,29,366667,19581,10783,2020-04-06,America
30,30,396223,21763,12722,2020-04-07,America
31,31,429052,23559,14695,2020-04-08,America
32,32,461437,25410,16478,2020-04-09,America
33,33,496535,28790,18586,2020-04-10,America
34,34,526396,31270,20462,2020-04-11,America
35,35,555313,32988,22019,2020-04-12,America
36,36,580619,43482,23528,2020-04-13,America
37,37,607670,47763,25831,2020-04-14,America
38,38,636350,52096,28325,2020-04-15,America
39,39,667801,54703,32916,2020-04-16,America
40,40,699706,58545,36773,2020-04-17,America
41,41,732197,64840,38664,2020-04-18,America
42,42,759086,70337,40661,2020-04-19,America
43,43,784326,72329,42094,2020-04-20,America
44,44,811865,75204,44444,2020-04-21,America
45,45,840220,77366,46622,2020-04-23,America
46,46,869170,80203,49954,2020-04-22,America
47,47,905333,99079,51949,2020-04-24,America
48,48,938154,100372,53755,2020-04-25,America
49,49,965783,106988,54881,2020-04-26,America
50,50,988197,111424,56259,2020-04-27,America
51,51,1012582,115936,58355,2020-04-28,America
52,52,1039909,120720,60967,2020-04-29,America
53,53,1069424,153947,62996,2020-04-30,America
54,54,1103461,164015,64943,2020-05-01,America
55,55,1132539,175382,66369,2020-05-02,America
56,56,1158040,180152,67682,2020-05-03,America
57,57,1180375,187180,68922,2020-05-04,America
58,0,500,30,10,2020-03-07,Spain
59,1,673,30,17,2020-03-08,Spain
60,2,1073,32,28,2020-03-09,Spain
61,3,1695,32,35,2020-03-10,Spain
62,4,2277,183,54,2020-03-13,Spain
63,5,2277,183,55,2020-03-11,Spain
64,6,5232,193,133,2020-03-12,Spain
65,7,6391,517,195,2020-03-14,Spain
66,8,7798,517,289,2020-03-15,Spain
67,9,9942,530,342,2020-03-16,Spain
68,10,11748,1028,533,2020-03-17,Spain
69,11,13910,1081,623,2020-03-18,Spain
70,12,17963,1107,830,2020-03-19,Spain
71,13,20410,1588,1043,2020-03-20,Spain
72,14,25374,2125,1375,2020-03-21,Spain
73,15,28603,2125,1756,2020-03-22,Spain
74,16,35136,3355,2311,2020-03-23,Spain
75,17,39885,3794,2808,2020-03-24,Spain
76,18,49515,5367,3647,2020-03-25,Spain
77,19,57786,7015,4365,2020-03-26,Spain
78,20,65719,9357,5138,2020-03-27,Spain
79,21,73235,12285,5982,2020-03-28,Spain
80,22,80110,14709,6803,2020-03-29,Spain
81,23,87956,16780,7716,2020-03-30,Spain
82,24,95923,19259,8464,2020-03-31,Spain
83,25,104118,22647,9387,2020-04-01,Spain
84,26,112065,26743,10348,2020-04-02,Spain
85,27,119199,30513,11198,2020-04-03,Spain
86,28,126168,34219,11947,2020-04-04,Spain
87,29,131646,38080,12641,2020-04-05,Spain
88,30,136675,40437,13341,2020-04-06,Spain
89,31,141942,43208,14045,2020-04-07,Spain
90,32,148220,48021,14792,2020-04-08,Spain
91,33,153222,52165,15447,2020-04-09,Spain
92,34,158273,55668,16081,2020-04-10,Spain
93,35,163027,59109,16606,2020-04-11,Spain
94,36,166831,62391,17209,2020-04-12,Spain
95,37,170099,64727,17756,2020-04-13,Spain
96,38,172541,67504,18056,2020-04-14,Spain
97,39,177644,70853,18708,2020-04-15,Spain
98,40,184948,74797,19315,2020-04-16,Spain
99,41,190839,74797,20002,2020-04-17,Spain
100,42,191726,74797,20043,2020-04-18,Spain
101,43,198674,77357,20453,2020-04-19,Spain
102,44,200210,80587,20852,2020-04-20,Spain
103,45,204178,82514,21282,2020-04-21,Spain
104,46,208389,85915,21717,2020-04-22,Spain
105,47,213024,89250,22157,2020-04-23,Spain
106,48,219764,92355,22524,2020-04-24,Spain
107,49,223759,95708,22902,2020-04-25,Spain
108,50,226629,117727,23190,2020-04-26,Spain
109,51,229422,120832,23521,2020-04-27,Spain
110,52,232128,123903,23822,2020-04-28,Spain
111,53,236899,132929,24275,2020-04-29,Spain
112,54,213435,112050,24543,2020-04-30,Spain
113,55,213435,112050,24543,2020-05-01,Spain
114,56,216582,117248,25100,2020-05-02,Spain
115,57,217466,118902,25264,2020-05-03,Spain
116,58,218011,121343,25428,2020-05-04,Spain
117,0,655,45,17,2020-02-27,Italy
118,1,888,46,21,2020-02-28,Italy
119,2,1128,46,29,2020-02-29,Italy
120,3,1694,83,34,2020-03-01,Italy
121,4,2036,149,52,2020-03-02,Italy
122,5,2502,160,79,2020-03-03,Italy
123,6,3089,276,107,2020-03-04,Italy
124,7,3858,414,148,2020-03-05,Italy
125,8,4636,523,197,2020-03-06,Italy
126,9,5883,589,233,2020-03-07,Italy
127,10,7375,622,366,2020-03-08,Italy
128,11,9172,724,463,2020-03-09,Italy
129,12,10149,724,631,2020-03-10,Italy
130,13,12462,1045,827,2020-03-13,Italy
131,14,12462,1045,827,2020-03-11,Italy
132,15,17660,1439,1266,2020-03-12,Italy
133,16,21157,1966,1441,2020-03-15,Italy
134,17,24747,2335,1809,2020-03-14,Italy
135,18,27980,2749,2158,2020-03-16,Italy
136,19,31506,2941,2503,2020-03-17,Italy
137,20,35713,4025,2978,2020-03-18,Italy
138,21,41035,4440,3405,2020-03-19,Italy
139,22,47021,4440,4032,2020-03-20,Italy
140,23,53578,6072,4825,2020-03-21,Italy
141,24,59138,7024,5476,2020-03-22,Italy
142,25,63927,7432,6077,2020-03-23,Italy
143,26,69176,8326,6820,2020-03-24,Italy
144,27,74386,9362,7503,2020-03-25,Italy
145,28,80589,10361,8215,2020-03-26,Italy
146,29,86498,10950,9134,2020-03-27,Italy
147,30,92472,12384,10023,2020-03-28,Italy
148,31,97689,13030,10779,2020-03-29,Italy
149,32,101739,14620,11591,2020-03-30,Italy
150,33,105792,15729,12428,2020-03-31,Italy
151,34,110574,16847,13155,2020-04-01,Italy
152,35,115242,18278,13915,2020-04-02,Italy
153,36,119827,19758,14681,2020-04-03,Italy
154,37,124632,20996,15362,2020-04-04,Italy
155,38,128948,21815,15887,2020-04-05,Italy
156,39,132547,22837,16523,2020-04-06,Italy
157,40,135586,24392,17127,2020-04-07,Italy
158,41,139422,26491,17669,2020-04-08,Italy
159,42,143626,28470,18279,2020-04-09,Italy
160,43,147577,30455,18849,2020-04-10,Italy
161,44,152271,32534,19468,2020-04-11,Italy
162,45,156363,34211,19899,2020-04-12,Italy
163,46,159516,35435,20465,2020-04-13,Italy
164,47,162488,37130,21067,2020-04-14,Italy
165,48,165155,38092,21645,2020-04-15,Italy
166,49,168941,40164,22170,2020-04-16,Italy
167,50,172434,42727,22745,2020-04-17,Italy
168,51,175925,44927,23227,2020-04-18,Italy
169,52,178972,47055,23660,2020-04-19,Italy
170,53,181228,48877,24114,2020-04-20,Italy
171,54,183957,51600,24648,2020-04-21,Italy
172,55,187327,54543,25085,2020-04-22,Italy
173,56,189973,57576,25549,2020-04-23,Italy
174,57,192994,60498,25969,2020-04-24,Italy
175,58,195351,63120,26384,2020-04-25,Italy
176,59,197675,64928,26644,2020-04-26,Italy
177,60,199414,66624,26977,2020-04-27,Italy
178,61,201505,68941,27359,2020-04-28,Italy
179,62,203591,71252,27682,2020-04-29,Italy
180,63,205463,75945,27967,2020-04-30,Italy
181,64,207428,78249,28236,2020-05-01,Italy
182,65,209328,79914,28710,2020-05-02,Italy
183,66,210717,81654,28884,2020-05-03,Italy
184,67,211938,82879,29079,2020-05-04,Italy
185,0,801,19,8,2020-03-14,United Kingdom
186,1,1143,19,21,2020-03-12,United Kingdom
187,2,1144,19,21,2020-03-15,United Kingdom
188,3,1551,21,56,2020-03-16,United Kingdom
189,4,1960,53,56,2020-03-18,United Kingdom
190,5,2642,67,72,2020-03-17,United Kingdom
191,6,2716,67,138,2020-03-20,United Kingdom
192,7,4014,67,178,2020-03-19,United Kingdom
193,8,5067,67,234,2020-03-21,United Kingdom
194,9,5741,95,282,2020-03-22,United Kingdom
195,10,6726,140,336,2020-03-23,United Kingdom
196,11,8164,140,423,2020-03-24,United Kingdom
197,12,9640,140,466,2020-03-25,United Kingdom
198,13,11812,150,580,2020-03-26,United Kingdom
199,14,14745,151,761,2020-03-27,United Kingdom
200,15,17312,151,1021,2020-03-28,United Kingdom
201,16,19780,151,1231,2020-03-29,United Kingdom
202,17,22453,171,1411,2020-03-30,United Kingdom
203,18,25481,179,1793,2020-03-31,United Kingdom
204,19,29865,179,2357,2020-04-01,United Kingdom
205,20,34173,192,2926,2020-04-02,United Kingdom
206,21,38689,208,3611,2020-04-03,United Kingdom
207,22,42477,215,4320,2020-04-04,United Kingdom
208,23,48436,229,4943,2020-04-05,United Kingdom
209,24,52279,287,5385,2020-04-06,United Kingdom
210,25,55949,325,6171,2020-04-07,United Kingdom
211,26,61474,345,7111,2020-04-08,United Kingdom
212,27,65872,359,7993,2020-04-09,United Kingdom
213,28,74605,588,8974,2020-04-10,United Kingdom
214,29,79874,622,9892,2020-04-11,United Kingdom
215,30,85206,626,10629,2020-04-12,United Kingdom
216,31,89570,304,11347,2020-04-13,United Kingdom
217,32,94845,323,12129,2020-04-14,United Kingdom
218,33,99483,368,12894,2020-04-15,United Kingdom
219,34,104145,375,13759,2020-04-16,United Kingdom
220,35,109769,394,14607,2020-04-17,United Kingdom
221,36,115314,414,15498,2020-04-18,United Kingdom
222,37,121172,436,16095,2020-04-19,United Kingdom
223,38,125856,446,16550,2020-04-20,United Kingdom
224,39,130172,638,17378,2020-04-21,United Kingdom
225,40,134638,683,18151,2020-04-22,United Kingdom
226,41,139246,712,18791,2020-04-23,United Kingdom
227,42,144640,724,19567,2020-04-24,United Kingdom
228,43,149569,774,20381,2020-04-25,United Kingdom
229,44,154037,778,20794,2020-04-26,United Kingdom
230,45,158348,807,21157,2020-04-27,United Kingdom
231,46,162350,813,21745,2020-04-28,United Kingdom
232,47,166441,857,26166,2020-04-29,United Kingdom
233,48,172481,859,26842,2020-04-30,United Kingdom
234,49,178685,892,27583,2020-05-01,United Kingdom
235,50,183500,896,28205,2020-05-02,United Kingdom
236,51,187842,901,28520,2020-05-03,United Kingdom
237,52,191832,910,28809,2020-05-04,United Kingdom
238,0,653,12,9,2020-03-06,France
239,1,949,12,11,2020-03-07,France
240,2,1126,12,19,2020-03-08,France
241,3,1209,12,19,2020-03-09,France
242,4,1784,12,33,2020-03-10,France
243,5,2284,12,48,2020-03-13,France
244,6,2284,12,48,2020-03-11,France
245,7,3667,12,79,2020-03-12,France
246,8,4480,12,91,2020-03-15,France
247,9,4513,12,91,2020-03-14,France
248,10,6650,12,148,2020-03-16,France
249,11,7683,12,148,2020-03-17,France
250,12,9052,12,148,2020-03-18,France
251,13,10886,12,243,2020-03-21,France
252,14,12632,12,450,2020-03-20,France
253,15,14308,12,562,2020-03-19,France
254,16,16214,2201,676,2020-03-22,France
255,17,20123,2207,862,2020-03-23,France
256,18,22622,3288,1102,2020-03-24,France
257,19,25600,3907,1333,2020-03-25,France
258,20,29551,4955,1698,2020-03-26,France
259,21,33402,5707,1997,2020-03-27,France
260,22,38105,5724,2317,2020-03-28,France
261,23,40708,7226,2611,2020-03-29,France
262,24,45170,7964,3030,2020-03-30,France
263,25,52827,9513,3532,2020-03-31,France
264,26,57749,11053,4043,2020-04-01,France
265,27,59929,12548,5398,2020-04-02,France
266,28,65202,14135,6520,2020-04-03,France
267,29,90848,15572,7574,2020-04-04,France
268,30,93773,16349,8093,2020-04-05,France
269,31,98963,17428,8926,2020-04-06,France
270,32,110065,19523,10343,2020-04-07,France
271,33,113959,21452,10887,2020-04-08,France
272,34,118781,23413,12228,2020-04-09,France
273,35,125931,25195,13215,2020-04-10,France
274,36,130727,26663,13851,2020-04-11,France
275,37,133670,27469,14412,2020-04-12,France
