,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta
0,0,2020-01-22,555,17,28,555,510,-45
1,1,2020-01-23,98,1,2,653,605,-48
2,2,2020-01-24,288,8,6,941,879,-62
3,3,2020-01-25,497,16,3,1438,1357,-81
4,4,2020-01-26,680,14,13,2118,2010,-108
5,5,2020-01-27,809,26,9,2927,2784,-143
6,6,2020-01-28,2651,49,46,5578,5340,-238
7,7,2020-01-29,587,2,19,6165,5906,-259
8,8,2020-01-30,2070,38,17,8235,7921,-314
9,9,2020-01-31,1690,42,79,9925,9490,-435
10,10,2020-02-01,2113,46,62,12038,11495,-543
11,11,2020-02-02,4749,103,188,16787,15953,-834
12,12,2020-02-03,3094,64,151,19881,18832,-1049
13,13,2020-02-04,4011,66,229,23892,22548,-1344
14,14,2020-02-05,3744,72,272,27636,25948,-1688
15,15,2020-02-06,3182,70,363,30818,28697,-2121
16,16,2020-02-07,3574,85,524,34392,31662,-2730
17,17,2020-02-08,2729,87,605,37121,33699,-3422
18,18,2020-02-09,3030,100,628,40151,36001,-4150
19,19,2020-02-10,2612,107,702,42763,37804,-4959
20,20,2020-02-11,2040,100,737,44803,39007,-5796
21,21,2020-02-12,419,5,467,45222,38954,-6268
22,22,2020-02-13,15148,253,1145,60370,52704,-7666
23,23,2020-02-14,6517,152,1763,66887,57306,-9581
24,24,2020-02-15,2145,143,1337,69032,57971,-11061
25,25,2020-02-16,2194,104,1470,71226,58591,-12635
26,26,2020-02-17,2034,98,1718,73260,58809,-14451
27,27,2020-02-18,1878,139,1769,75138,58779,-16359
28,28,2020-02-19,503,115,1769,75641,57398,-18243
29,29,2020-02-20,558,125,2056,76199,55775,-20424
30,30,2020-02-21,644,4,713,76843,55702,-21141
31,31,2020-02-22,1756,207,3996,78599,53255,-25344
32,32,2020-02-23,386,11,508,78985,53122,-25863
33,33,2020-02-24,585,160,1833,79570,51714,-27856
34,34,2020-02-25,845,79,2678,80415,49802,-30613
35,35,2020-02-26,982,62,2479,81397,48243,-33154
36,36,2020-02-27,1359,44,2893,82756,46665,-36091
37,37,2020-02-28,1368,58,3434,84124,44541,-39583
38,38,2020-02-29,1889,69,3071,86013,43290,-42723
39,39,2020-03-01,2358,55,2934,88371,42659,-45712
40,40,2020-03-02,1938,89,2886,90309,41622,-48687
41,41,2020-03-03,2535,75,2627,92844,41455,-51389
42,42,2020-03-04,2280,94,2942,95124,40699,-54425
43,43,2020-03-05,2762,94,2626,97886,40741,-57145
44,44,2020-03-06,3914,112,2069,101800,42474,-59326
45,45,2020-03-07,4036,98,2493,105836,43919,-61917
46,46,2020-03-08,3999,245,2336,109835,45337,-64498
47,47,2020-03-09,3747,193,1817,113582,47074,-66508
48,48,2020-03-10,5000,266,1892,118582,49916,-68666
49,49,2020-03-11,7283,353,2599,125865,54247,-71618
