,Unnamed: 0,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta,pred,
0,0.0,0.0,2020-01-22,1.0,0.0,0.0,1.0,1.0,0.0,,
1,1.0,1.0,2020-01-23,0.0,0.0,0.0,1.0,1.0,0.0,,
2,2.0,2.0,2020-01-24,1.0,0.0,0.0,2.0,2.0,0.0,,
3,3.0,3.0,2020-01-25,0.0,0.0,0.0,2.0,2.0,0.0,,
4,4.0,4.0,2020-01-26,3.0,0.0,0.0,5.0,5.0,0.0,,
5,5.0,5.0,2020-01-27,0.0,0.0,0.0,5.0,5.0,0.0,,
6,6.0,6.0,2020-01-28,0.0,0.0,0.0,5.0,5.0,0.0,,
7,7.0,7.0,2020-01-29,0.0,0.0,0.0,5.0,5.0,0.0,,
8,8.0,8.0,2020-01-30,0.0,0.0,0.0,5.0,5.0,0.0,,
9,9.0,9.0,2020-01-31,1.0,0.0,0.0,6.0,6.0,0.0,,
10,10.0,10.0,2020-02-01,2.0,0.0,0.0,8.0,8.0,0.0,,
11,11.0,11.0,2020-02-02,0.0,0.0,0.0,8.0,8.0,0.0,,
12,12.0,12.0,2020-02-03,3.0,0.0,0.0,11.0,11.0,0.0,,
13,13.0,13.0,2020-02-04,0.0,0.0,0.0,11.0,11.0,0.0,,
14,14.0,14.0,2020-02-05,1.0,0.0,0.0,12.0,12.0,0.0,,
15,15.0,15.0,2020-02-06,0.0,0.0,0.0,12.0,12.0,0.0,,
16,16.0,16.0,2020-02-07,0.0,0.0,0.0,12.0,12.0,0.0,,
17,17.0,17.0,2020-02-08,0.0,0.0,0.0,12.0,12.0,0.0,,
18,18.0,18.0,2020-02-09,0.0,0.0,3.0,12.0,9.0,-3.0,,
19,19.0,19.0,2020-02-10,0.0,0.0,0.0,12.0,9.0,-3.0,,
20,20.0,20.0,2020-02-11,1.0,0.0,0.0,13.0,10.0,-3.0,,
21,21.0,21.0,2020-02-12,0.0,0.0,0.0,13.0,10.0,-3.0,,
22,22.0,22.0,2020-02-13,2.0,0.0,0.0,15.0,12.0,-3.0,,
23,23.0,23.0,2020-02-14,0.0,0.0,0.0,15.0,12.0,-3.0,,
24,24.0,24.0,2020-02-15,0.0,0.0,0.0,15.0,12.0,-3.0,,
25,25.0,25.0,2020-02-16,0.0,0.0,0.0,15.0,12.0,-3.0,,
26,26.0,26.0,2020-02-17,0.0,0.0,0.0,15.0,12.0,-3.0,,
27,27.0,27.0,2020-02-18,0.0,0.0,0.0,15.0,12.0,-3.0,,
28,28.0,28.0,2020-02-19,0.0,0.0,0.0,15.0,12.0,-3.0,,
29,29.0,29.0,2020-02-20,0.0,0.0,0.0,15.0,12.0,-3.0,,
30,30.0,30.0,2020-02-21,20.0,0.0,2.0,35.0,30.0,-5.0,,
31,31.0,31.0,2020-02-22,0.0,0.0,0.0,35.0,30.0,-5.0,,
32,32.0,32.0,2020-02-23,0.0,0.0,0.0,35.0,30.0,-5.0,,
33,33.0,33.0,2020-02-24,18.0,0.0,0.0,53.0,48.0,-5.0,,
34,34.0,34.0,2020-02-25,0.0,0.0,1.0,53.0,47.0,-6.0,,
35,35.0,35.0,2020-02-26,6.0,0.0,0.0,59.0,53.0,-6.0,,
36,36.0,36.0,2020-02-27,1.0,0.0,0.0,60.0,54.0,-6.0,,
37,37.0,37.0,2020-02-28,2.0,0.0,1.0,62.0,55.0,-7.0,,
38,38.0,38.0,2020-02-29,8.0,1.0,0.0,70.0,62.0,-8.0,,
39,39.0,39.0,2020-03-01,6.0,0.0,0.0,76.0,68.0,-8.0,,
40,40.0,40.0,2020-03-02,25.0,5.0,0.0,101.0,88.0,-13.0,,
41,41.0,41.0,2020-03-03,21.0,1.0,1.0,122.0,107.0,-15.0,,
42,42.0,42.0,2020-03-04,31.0,4.0,0.0,153.0,134.0,-19.0,,
43,43.0,43.0,2020-03-05,68.0,1.0,0.0,221.0,201.0,-20.0,,
44,44.0,44.0,2020-03-06,57.0,2.0,0.0,278.0,256.0,-22.0,,
45,45.0,45.0,2020-03-07,139.0,3.0,0.0,417.0,392.0,-25.0,,
46,46.0,46.0,2020-03-08,120.0,4.0,0.0,537.0,508.0,-29.0,,
47,47.0,47.0,2020-03-09,68.0,1.0,0.0,605.0,575.0,-30.0,,
48,48.0,48.0,2020-03-10,354.0,6.0,0.0,959.0,923.0,-36.0,,
49,49.0,49.0,2020-03-11,322.0,8.0,0.0,1281.0,1237.0,-44.0,,
50,50.0,50.0,2020-03-12,382.0,4.0,4.0,1663.0,1611.0,-52.0,,
51,51.0,51.0,2020-03-13,516.0,7.0,0.0,2179.0,2120.0,-59.0,,
52,52.0,52.0,2020-03-14,547.0,7.0,0.0,2726.0,2660.0,-66.0,,
53,53.0,53.0,2020-03-15,773.0,9.0,0.0,3499.0,3424.0,-75.0,,
54,54.0,54.0,2020-03-16,1133.0,22.0,5.0,4632.0,4530.0,-102.0,,
55,55.0,55.0,2020-03-17,1789.0,23.0,0.0,6421.0,6296.0,-125.0,,
56,56.0,56.0,2020-03-18,1365.0,10.0,89.0,7786.0,7562.0,-224.0,,
57,57.0,57.0,2020-03-19,5894.0,82.0,2.0,13680.0,13372.0,-308.0,,
58,58.0,58.0,2020-03-20,5421.0,44.0,39.0,19101.0,18710.0,-391.0,,
59,59.0,59.0,2020-03-21,6413.0,63.0,24.0,25514.0,25036.0,-478.0,,
60,60.0,60.0,2020-03-22,8334.0,120.0,-171.0,33848.0,33421.0,-427.0,,
61,61.0,61.0,2020-03-23,9815.0,125.0,0.0,43663.0,43111.0,-552.0,,
62,62.0,62.0,2020-03-24,10073.0,154.0,348.0,53736.0,52682.0,-1054.0,,
