,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta
0,0,2020-01-22,1,0,0,1,1,0
1,1,2020-01-23,0,0,0,1,1,0
2,2,2020-01-24,1,0,0,2,2,0
3,3,2020-01-25,0,0,0,2,2,0
4,4,2020-01-26,3,0,0,5,5,0
5,5,2020-01-27,0,0,0,5,5,0
6,6,2020-01-28,0,0,0,5,5,0
7,7,2020-01-29,0,0,0,5,5,0
8,8,2020-01-30,0,0,0,5,5,0
9,9,2020-01-31,1,0,0,6,6,0
10,10,2020-02-01,2,0,0,8,8,0
11,11,2020-02-02,0,0,0,8,8,0
12,12,2020-02-03,3,0,0,11,11,0
13,13,2020-02-04,0,0,0,11,11,0
14,14,2020-02-05,1,0,0,12,12,0
15,15,2020-02-06,0,0,0,12,12,0
16,16,2020-02-07,0,0,0,12,12,0
17,17,2020-02-08,0,0,0,12,12,0
18,18,2020-02-09,0,0,3,12,9,-3
19,19,2020-02-10,0,0,0,12,9,-3
20,20,2020-02-11,1,0,0,13,10,-3
21,21,2020-02-12,0,0,0,13,10,-3
22,22,2020-02-13,2,0,0,15,12,-3
23,23,2020-02-14,0,0,0,15,12,-3
24,24,2020-02-15,0,0,0,15,12,-3
25,25,2020-02-16,0,0,0,15,12,-3
26,26,2020-02-17,0,0,0,15,12,-3
27,27,2020-02-18,0,0,0,15,12,-3
28,28,2020-02-19,0,0,0,15,12,-3
29,29,2020-02-20,0,0,0,15,12,-3
30,30,2020-02-21,20,0,2,35,30,-5
31,31,2020-02-22,0,0,0,35,30,-5
32,32,2020-02-23,0,0,0,35,30,-5
33,33,2020-02-24,18,0,0,53,48,-5
34,34,2020-02-25,0,0,1,53,47,-6
35,35,2020-02-26,6,0,0,59,53,-6
36,36,2020-02-27,1,0,0,60,54,-6
37,37,2020-02-28,2,0,1,62,55,-7
38,38,2020-02-29,8,1,0,70,62,-8
39,39,2020-03-01,6,0,0,76,68,-8
40,40,2020-03-02,25,5,0,101,88,-13
41,41,2020-03-03,21,1,1,122,107,-15
42,42,2020-03-04,31,4,0,153,134,-19
43,43,2020-03-05,68,1,0,221,201,-20
44,44,2020-03-06,57,2,0,278,256,-22
45,45,2020-03-07,139,3,0,417,392,-25
46,46,2020-03-08,120,4,0,537,508,-29
47,47,2020-03-09,68,1,0,605,575,-30
48,48,2020-03-10,354,6,0,959,923,-36
49,49,2020-03-11,322,8,0,1281,1237,-44
50,50,2020-03-12,382,4,4,1663,1611,-52
51,51,2020-03-13,516,7,0,2179,2120,-59
52,52,2020-03-14,547,7,0,2726,2660,-66
53,53,2020-03-15,773,9,0,3499,3424,-75
54,54,2020-03-16,1133,22,5,4632,4530,-102
55,55,2020-03-17,1789,23,0,6421,6296,-125
56,56,2020-03-18,1365,10,89,7786,7562,-224
57,57,2020-03-19,5894,82,2,13680,13372,-308
58,58,2020-03-20,5421,44,39,19101,18710,-391
59,59,2020-03-21,6413,63,24,25514,25036,-478
60,60,2020-03-22,8334,120,-171,33848,33421,-427
61,61,2020-03-23,9815,125,0,43663,43111,-552
62,62,2020-03-24,10073,154,348,53736,52682,-1054
63,63,2020-03-25,12042,236,13,65778,64475,-1303
64,64,2020-03-26,18058,267,320,83836,81946,-1890
65,65,2020-03-27,17821,372,188,101657,99207,-2450
66,66,2020-03-28,19808,445,203,121465,118367,-3098
67,67,2020-03-29,19444,441,1593,140909,135777,-5132
68,68,2020-03-30,20922,511,2979,161831,153209,-8622
69,69,2020-03-31,26341,895,1380,188172,177275,-10897
70,70,2020-04-01,25200,884,1450,213372,200141,-13231
71,71,2020-04-02,30227,1169,527,243599,228672,-14927
72,72,2020-04-03,31987,1161,706,275586,258792,-16794
73,73,2020-04-04,33267,1320,4945,308853,285794,-23059
74,74,2020-04-05,28219,1212,2796,337072,310005,-27067
75,75,2020-04-06,29595,1164,2133,366667,336303,-30364
76,76,2020-04-07,29556,1939,2182,396223,361738,-34485
77,77,2020-04-08,32829,1973,1796,429052,390798,-38254
78,78,2020-04-09,32385,1783,1851,461437,419549,-41888
79,79,2020-04-10,35098,2108,3380,496535,449159,-47376
80,80,2020-04-11,29861,1876,2480,526396,474664,-51732
81,81,2020-04-12,28917,1557,1718,555313,500306,-55007
82,82,2020-04-13,25306,1509,10494,580619,513609,-67010
83,83,2020-04-14,27051,2303,4281,607670,534076,-73594
84,84,2020-04-15,28680,2494,4333,636350,555929,-80421
85,85,2020-04-16,31451,4591,2607,667801,580182,-87619
86,86,2020-04-17,31905,3857,3842,699706,604388,-95318
87,87,2020-04-18,32491,1891,6295,732197,628693,-103504
88,88,2020-04-19,26889,1997,5497,759086,648088,-110998
89,89,2020-04-20,25240,1433,1992,784326,669903,-114423
90,90,2020-04-21,27539,2350,2875,811865,692217,-119648
91,91,2020-04-22,28355,2178,2162,840220,716232,-123988
92,92,2020-04-23,28950,3332,2837,869170,739013,-130157
93,93,2020-04-24,36163,1995,18876,905333,754305,-151028
94,94,2020-04-25,32821,1806,1293,938154,784027,-154127
95,95,2020-04-26,27629,1126,6616,965783,803914,-161869
96,96,2020-04-27,22414,1378,4436,988197,820514,-167683
97,97,2020-04-28,24385,2096,4512,1012582,838291,-174291
98,98,2020-04-29,27327,2612,4784,1039909,858222,-181687
99,99,2020-04-30,29515,2029,33227,1069424,852481,-216943
100,100,2020-05-01,34037,1947,10068,1103461,874503,-228958
101,101,2020-05-02,29078,1426,11367,1132539,890788,-241751
102,102,2020-05-03,25501,1313,4770,1158040,910206,-247834
103,103,2020-05-04,22335,1240,7028,1180375,924273,-256102
